Iteration	Posterior	Likelihood	Prior	timeline[1]	timeline[2]	timeline[3]
0	-2454.17	0	-2454.17	34	79	135
10	-1244.97	0	-1244.97	34	79	135
20	-903.981	0	-903.981	34	79	135
30	-803.975	0	-803.975	34	79	135
40	-800.908	0	-800.908	34	79	135
50	-795.233	0	-795.233	34	79	135
60	-796.136	0	-796.136	34	79	135
70	-799.213	0	-799.213	34	79	135
80	-798.451	0	-798.451	34	79	135
90	-800.666	0	-800.666	34	79	135
100	-803.676	0	-803.676	34	79	135
110	-803.448	0	-803.448	34	79	135
120	-802.388	0	-802.388	34	79	135
130	-800.311	0	-800.311	34	79	135
140	-804.939	0	-804.939	34	79	135
150	-799.94	0	-799.94	34	79	135
160	-805.208	0	-805.208	34	79	135
170	-800.166	0	-800.166	34	79	135
180	-801.441	0	-801.441	34	79	135
190	-799.066	0	-799.066	34	79	135
200	-802.98	0	-802.98	34	79	135
210	-800.012	0	-800.012	34	79	135
220	-800.44	0	-800.44	34	79	135
230	-798.801	0	-798.801	34	79	135
240	-799.844	0	-799.844	34	79	135
250	-805.483	0	-805.483	34	79	135
260	-794.931	0	-794.931	34	79	135
270	-805.001	0	-805.001	34	79	135
280	-805.699	0	-805.699	34	79	135
290	-800.544	0	-800.544	34	79	135
300	-797.492	0	-797.492	34	79	135
310	-800.27	0	-800.27	34	79	135
320	-801.33	0	-801.33	34	79	135
330	-798.54	0	-798.54	34	79	135
340	-798.02	0	-798.02	34	79	135
350	-802.311	0	-802.311	34	79	135
360	-798.611	0	-798.611	34	79	135
370	-798.74	0	-798.74	34	79	135
380	-797.917	0	-797.917	34	79	135
390	-799.729	0	-799.729	34	79	135
400	-794.549	0	-794.549	34	79	135
410	-799.596	0	-799.596	34	79	135
420	-799.414	0	-799.414	34	79	135
430	-802.794	0	-802.794	34	79	135
440	-799.957	0	-799.957	34	79	135
450	-797.6	0	-797.6	34	79	135
460	-800.342	0	-800.342	34	79	135
470	-805.899	0	-805.899	34	79	135
480	-801.951	0	-801.951	34	79	135
490	-800.368	0	-800.368	34	79	135
500	-800.962	0	-800.962	34	79	135
510	-798.964	0	-798.964	34	79	135
520	-797.205	0	-797.205	34	79	135
530	-798.946	0	-798.946	34	79	135
540	-801.461	0	-801.461	34	79	135
550	-797.64	0	-797.64	34	79	135
560	-799.574	0	-799.574	34	79	135
570	-798.588	0	-798.588	34	79	135
580	-796.331	0	-796.331	34	79	135
590	-795.945	0	-795.945	34	79	135
600	-799.631	0	-799.631	34	79	135
610	-797.832	0	-797.832	34	79	135
620	-801.655	0	-801.655	34	79	135
630	-798.523	0	-798.523	34	79	135
640	-808.252	0	-808.252	34	79	135
650	-798.487	0	-798.487	34	79	135
660	-795.763	0	-795.763	34	79	135
670	-801.109	0	-801.109	34	79	135
680	-797.65	0	-797.65	34	79	135
690	-795.535	0	-795.535	34	79	135
700	-798.108	0	-798.108	34	79	135
710	-798.737	0	-798.737	34	79	135
720	-796.409	0	-796.409	34	79	135
730	-800.537	0	-800.537	34	79	135
740	-797.719	0	-797.719	34	79	135
750	-798.142	0	-798.142	34	79	135
760	-799.805	0	-799.805	34	79	135
770	-799.245	0	-799.245	34	79	135
780	-797.299	0	-797.299	34	79	135
790	-796.241	0	-796.241	34	79	135
800	-797.269	0	-797.269	34	79	135
810	-796.564	0	-796.564	34	79	135
820	-798.385	0	-798.385	34	79	135
830	-799.751	0	-799.751	34	79	135
840	-803.168	0	-803.168	34	79	135
850	-798.726	0	-798.726	34	79	135
860	-796.766	0	-796.766	34	79	135
870	-801	0	-801	34	79	135
880	-801.228	0	-801.228	34	79	135
890	-807.368	0	-807.368	34	79	135
900	-801.391	0	-801.391	34	79	135
910	-800.516	0	-800.516	34	79	135
920	-796.733	0	-796.733	34	79	135
930	-796.642	0	-796.642	34	79	135
940	-796.924	0	-796.924	34	79	135
950	-800.522	0	-800.522	34	79	135
960	-796.735	0	-796.735	34	79	135
970	-801.753	0	-801.753	34	79	135
980	-804.049	0	-804.049	34	79	135
990	-795.375	0	-795.375	34	79	135
1000	-794.983	0	-794.983	34	79	135
1010	-799.435	0	-799.435	34	79	135
1020	-801.827	0	-801.827	34	79	135
1030	-801.495	0	-801.495	34	79	135
1040	-807.298	0	-807.298	34	79	135
1050	-799.991	0	-799.991	34	79	135
1060	-795.567	0	-795.567	34	79	135
1070	-797.621	0	-797.621	34	79	135
1080	-797.38	0	-797.38	34	79	135
1090	-798.488	0	-798.488	34	79	135
1100	-804.973	0	-804.973	34	79	135
1110	-800.902	0	-800.902	34	79	135
1120	-797.739	0	-797.739	34	79	135
1130	-799.931	0	-799.931	34	79	135
1140	-801.327	0	-801.327	34	79	135
1150	-806.292	0	-806.292	34	79	135
1160	-800.628	0	-800.628	34	79	135
1170	-798.307	0	-798.307	34	79	135
1180	-797.737	0	-797.737	34	79	135
1190	-797.693	0	-797.693	34	79	135
1200	-801.958	0	-801.958	34	79	135
1210	-800.921	0	-800.921	34	79	135
1220	-800.293	0	-800.293	34	79	135
1230	-798.66	0	-798.66	34	79	135
1240	-808.173	0	-808.173	34	79	135
1250	-801.109	0	-801.109	34	79	135
1260	-804.895	0	-804.895	34	79	135
1270	-804.548	0	-804.548	34	79	135
1280	-798.512	0	-798.512	34	79	135
1290	-799.798	0	-799.798	34	79	135
1300	-802.518	0	-802.518	34	79	135
1310	-799.901	0	-799.901	34	79	135
1320	-797.744	0	-797.744	34	79	135
1330	-797.951	0	-797.951	34	79	135
1340	-799.667	0	-799.667	34	79	135
1350	-800.332	0	-800.332	34	79	135
1360	-801.359	0	-801.359	34	79	135
1370	-798.052	0	-798.052	34	79	135
1380	-796.671	0	-796.671	34	79	135
1390	-797.562	0	-797.562	34	79	135
1400	-797.438	0	-797.438	34	79	135
1410	-800.71	0	-800.71	34	79	135
1420	-802.411	0	-802.411	34	79	135
1430	-800.203	0	-800.203	34	79	135
1440	-800.613	0	-800.613	34	79	135
1450	-803.504	0	-803.504	34	79	135
1460	-800.586	0	-800.586	34	79	135
1470	-800.806	0	-800.806	34	79	135
1480	-797.774	0	-797.774	34	79	135
1490	-799.594	0	-799.594	34	79	135
1500	-798.473	0	-798.473	34	79	135
1510	-802.537	0	-802.537	34	79	135
1520	-795.614	0	-795.614	34	79	135
1530	-796.099	0	-796.099	34	79	135
1540	-796.739	0	-796.739	34	79	135
1550	-797.259	0	-797.259	34	79	135
1560	-797.689	0	-797.689	34	79	135
1570	-796.52	0	-796.52	34	79	135
1580	-798.416	0	-798.416	34	79	135
1590	-796.85	0	-796.85	34	79	135
1600	-796.481	0	-796.481	34	79	135
1610	-797.852	0	-797.852	34	79	135
1620	-803.446	0	-803.446	34	79	135
1630	-803.179	0	-803.179	34	79	135
1640	-800.323	0	-800.323	34	79	135
1650	-800.527	0	-800.527	34	79	135
1660	-803.889	0	-803.889	34	79	135
1670	-800.024	0	-800.024	34	79	135
1680	-796.428	0	-796.428	34	79	135
1690	-802.868	0	-802.868	34	79	135
1700	-796.282	0	-796.282	34	79	135
1710	-796.607	0	-796.607	34	79	135
1720	-800.332	0	-800.332	34	79	135
1730	-796.331	0	-796.331	34	79	135
1740	-795.319	0	-795.319	34	79	135
1750	-798.143	0	-798.143	34	79	135
1760	-797.541	0	-797.541	34	79	135
1770	-802.528	0	-802.528	34	79	135
1780	-796.357	0	-796.357	34	79	135
1790	-797.353	0	-797.353	34	79	135
1800	-796.209	0	-796.209	34	79	135
1810	-795.693	0	-795.693	34	79	135
1820	-799.868	0	-799.868	34	79	135
1830	-801.291	0	-801.291	34	79	135
1840	-795.168	0	-795.168	34	79	135
1850	-797.499	0	-797.499	34	79	135
1860	-799.578	0	-799.578	34	79	135
1870	-800.308	0	-800.308	34	79	135
1880	-802.155	0	-802.155	34	79	135
1890	-800.821	0	-800.821	34	79	135
1900	-796.4	0	-796.4	34	79	135
1910	-794.346	0	-794.346	34	79	135
1920	-797.331	0	-797.331	34	79	135
1930	-800.737	0	-800.737	34	79	135
1940	-798.863	0	-798.863	34	79	135
1950	-801.78	0	-801.78	34	79	135
1960	-797.635	0	-797.635	34	79	135
1970	-799.961	0	-799.961	34	79	135
1980	-799.574	0	-799.574	34	79	135
1990	-803.788	0	-803.788	34	79	135
2000	-807.498	0	-807.498	34	79	135
2010	-803.2	0	-803.2	34	79	135
2020	-797.213	0	-797.213	34	79	135
2030	-796.943	0	-796.943	34	79	135
2040	-799.894	0	-799.894	34	79	135
2050	-797.258	0	-797.258	34	79	135
2060	-801.352	0	-801.352	34	79	135
2070	-798.002	0	-798.002	34	79	135
2080	-799.671	0	-799.671	34	79	135
2090	-796.676	0	-796.676	34	79	135
2100	-799.022	0	-799.022	34	79	135
2110	-798.6	0	-798.6	34	79	135
2120	-796.354	0	-796.354	34	79	135
2130	-798.272	0	-798.272	34	79	135
2140	-797.869	0	-797.869	34	79	135
2150	-797.876	0	-797.876	34	79	135
2160	-798.506	0	-798.506	34	79	135
2170	-800.602	0	-800.602	34	79	135
2180	-801.772	0	-801.772	34	79	135
2190	-799.935	0	-799.935	34	79	135
2200	-797.152	0	-797.152	34	79	135
2210	-797.337	0	-797.337	34	79	135
2220	-796.719	0	-796.719	34	79	135
2230	-802.516	0	-802.516	34	79	135
2240	-796.168	0	-796.168	34	79	135
2250	-798.04	0	-798.04	34	79	135
2260	-800.966	0	-800.966	34	79	135
2270	-798.587	0	-798.587	34	79	135
2280	-798.15	0	-798.15	34	79	135
2290	-796.579	0	-796.579	34	79	135
2300	-799.535	0	-799.535	34	79	135
2310	-799.108	0	-799.108	34	79	135
2320	-807.011	0	-807.011	34	79	135
2330	-798.492	0	-798.492	34	79	135
2340	-798.836	0	-798.836	34	79	135
2350	-799.545	0	-799.545	34	79	135
2360	-797.136	0	-797.136	34	79	135
2370	-795.769	0	-795.769	34	79	135
2380	-797.919	0	-797.919	34	79	135
2390	-803.805	0	-803.805	34	79	135
2400	-797.925	0	-797.925	34	79	135
2410	-797.532	0	-797.532	34	79	135
2420	-795.408	0	-795.408	34	79	135
2430	-795.068	0	-795.068	34	79	135
2440	-801.153	0	-801.153	34	79	135
2450	-801.727	0	-801.727	34	79	135
2460	-799.334	0	-799.334	34	79	135
2470	-801.494	0	-801.494	34	79	135
2480	-800.322	0	-800.322	34	79	135
2490	-797.764	0	-797.764	34	79	135
2500	-800.637	0	-800.637	34	79	135
2510	-802.27	0	-802.27	34	79	135
2520	-798.585	0	-798.585	34	79	135
2530	-795.403	0	-795.403	34	79	135
2540	-799.556	0	-799.556	34	79	135
2550	-801.157	0	-801.157	34	79	135
2560	-796.311	0	-796.311	34	79	135
2570	-795.953	0	-795.953	34	79	135
2580	-803.418	0	-803.418	34	79	135
2590	-800.611	0	-800.611	34	79	135
2600	-801.251	0	-801.251	34	79	135
2610	-797.783	0	-797.783	34	79	135
2620	-795.16	0	-795.16	34	79	135
2630	-799.4	0	-799.4	34	79	135
2640	-797.95	0	-797.95	34	79	135
2650	-797.921	0	-797.921	34	79	135
2660	-797.342	0	-797.342	34	79	135
2670	-799.442	0	-799.442	34	79	135
2680	-797.595	0	-797.595	34	79	135
2690	-797.08	0	-797.08	34	79	135
2700	-797.858	0	-797.858	34	79	135
2710	-801.516	0	-801.516	34	79	135
2720	-795.827	0	-795.827	34	79	135
2730	-795.52	0	-795.52	34	79	135
2740	-796.935	0	-796.935	34	79	135
2750	-794.784	0	-794.784	34	79	135
2760	-795.966	0	-795.966	34	79	135
2770	-797.542	0	-797.542	34	79	135
2780	-803.786	0	-803.786	34	79	135
2790	-799.14	0	-799.14	34	79	135
2800	-802.172	0	-802.172	34	79	135
2810	-797.496	0	-797.496	34	79	135
2820	-796.441	0	-796.441	34	79	135
2830	-798.686	0	-798.686	34	79	135
2840	-797.707	0	-797.707	34	79	135
2850	-799.516	0	-799.516	34	79	135
2860	-802.136	0	-802.136	34	79	135
2870	-800.782	0	-800.782	34	79	135
2880	-798.536	0	-798.536	34	79	135
2890	-798.143	0	-798.143	34	79	135
2900	-797.148	0	-797.148	34	79	135
2910	-796.234	0	-796.234	34	79	135
2920	-800.324	0	-800.324	34	79	135
2930	-802.111	0	-802.111	34	79	135
2940	-799.142	0	-799.142	34	79	135
2950	-798.106	0	-798.106	34	79	135
2960	-799.16	0	-799.16	34	79	135
2970	-795.858	0	-795.858	34	79	135
2980	-807.612	0	-807.612	34	79	135
2990	-798	0	-798	34	79	135
3000	-801.093	0	-801.093	34	79	135
3010	-796.582	0	-796.582	34	79	135
3020	-797.927	0	-797.927	34	79	135
3030	-798.456	0	-798.456	34	79	135
3040	-796.69	0	-796.69	34	79	135
3050	-800.665	0	-800.665	34	79	135
3060	-798.947	0	-798.947	34	79	135
3070	-797.545	0	-797.545	34	79	135
3080	-795.084	0	-795.084	34	79	135
3090	-801.088	0	-801.088	34	79	135
3100	-798.558	0	-798.558	34	79	135
3110	-799.686	0	-799.686	34	79	135
3120	-798.879	0	-798.879	34	79	135
3130	-798.451	0	-798.451	34	79	135
3140	-805.522	0	-805.522	34	79	135
3150	-800.416	0	-800.416	34	79	135
3160	-800.977	0	-800.977	34	79	135
3170	-800.956	0	-800.956	34	79	135
3180	-802.357	0	-802.357	34	79	135
3190	-798.758	0	-798.758	34	79	135
3200	-799.741	0	-799.741	34	79	135
3210	-801.769	0	-801.769	34	79	135
3220	-803.765	0	-803.765	34	79	135
3230	-798.145	0	-798.145	34	79	135
3240	-800.546	0	-800.546	34	79	135
3250	-801.866	0	-801.866	34	79	135
3260	-803.537	0	-803.537	34	79	135
3270	-800.748	0	-800.748	34	79	135
3280	-802.761	0	-802.761	34	79	135
3290	-801.405	0	-801.405	34	79	135
3300	-800.67	0	-800.67	34	79	135
3310	-805.997	0	-805.997	34	79	135
3320	-801.972	0	-801.972	34	79	135
3330	-798.244	0	-798.244	34	79	135
3340	-798.776	0	-798.776	34	79	135
3350	-797.437	0	-797.437	34	79	135
3360	-800.482	0	-800.482	34	79	135
3370	-798.093	0	-798.093	34	79	135
3380	-799.625	0	-799.625	34	79	135
3390	-798.526	0	-798.526	34	79	135
3400	-799.397	0	-799.397	34	79	135
3410	-798.37	0	-798.37	34	79	135
3420	-797.519	0	-797.519	34	79	135
3430	-795.903	0	-795.903	34	79	135
3440	-798.091	0	-798.091	34	79	135
3450	-796.884	0	-796.884	34	79	135
3460	-795.827	0	-795.827	34	79	135
3470	-804.404	0	-804.404	34	79	135
3480	-802.426	0	-802.426	34	79	135
3490	-807.307	0	-807.307	34	79	135
3500	-800.739	0	-800.739	34	79	135
3510	-801.929	0	-801.929	34	79	135
3520	-798.485	0	-798.485	34	79	135
3530	-795.058	0	-795.058	34	79	135
3540	-799.352	0	-799.352	34	79	135
3550	-799.688	0	-799.688	34	79	135
3560	-797.698	0	-797.698	34	79	135
3570	-796.932	0	-796.932	34	79	135
3580	-799.142	0	-799.142	34	79	135
3590	-796.581	0	-796.581	34	79	135
3600	-802.187	0	-802.187	34	79	135
3610	-799.932	0	-799.932	34	79	135
3620	-795.592	0	-795.592	34	79	135
3630	-795.362	0	-795.362	34	79	135
3640	-798.533	0	-798.533	34	79	135
3650	-799.276	0	-799.276	34	79	135
3660	-801.022	0	-801.022	34	79	135
3670	-799.958	0	-799.958	34	79	135
3680	-799.853	0	-799.853	34	79	135
3690	-799.703	0	-799.703	34	79	135
3700	-797.983	0	-797.983	34	79	135
3710	-800.586	0	-800.586	34	79	135
3720	-801.875	0	-801.875	34	79	135
3730	-799.028	0	-799.028	34	79	135
3740	-800.338	0	-800.338	34	79	135
3750	-799.947	0	-799.947	34	79	135
3760	-798.922	0	-798.922	34	79	135
3770	-800.435	0	-800.435	34	79	135
3780	-801.064	0	-801.064	34	79	135
3790	-797.077	0	-797.077	34	79	135
3800	-798.241	0	-798.241	34	79	135
3810	-795.944	0	-795.944	34	79	135
3820	-798.658	0	-798.658	34	79	135
3830	-797.771	0	-797.771	34	79	135
3840	-804.754	0	-804.754	34	79	135
3850	-803.667	0	-803.667	34	79	135
3860	-801.625	0	-801.625	34	79	135
3870	-801.785	0	-801.785	34	79	135
3880	-801.183	0	-801.183	34	79	135
3890	-796.243	0	-796.243	34	79	135
3900	-799.38	0	-799.38	34	79	135
3910	-800.898	0	-800.898	34	79	135
3920	-801.284	0	-801.284	34	79	135
3930	-802.765	0	-802.765	34	79	135
3940	-801.631	0	-801.631	34	79	135
3950	-796.418	0	-796.418	34	79	135
3960	-802.482	0	-802.482	34	79	135
3970	-797.434	0	-797.434	34	79	135
3980	-800.397	0	-800.397	34	79	135
3990	-800.16	0	-800.16	34	79	135
4000	-798.71	0	-798.71	34	79	135
4010	-795.34	0	-795.34	34	79	135
4020	-797.403	0	-797.403	34	79	135
4030	-795.157	0	-795.157	34	79	135
4040	-799.356	0	-799.356	34	79	135
4050	-797.82	0	-797.82	34	79	135
4060	-800.066	0	-800.066	34	79	135
4070	-798.194	0	-798.194	34	79	135
4080	-796.595	0	-796.595	34	79	135
4090	-800.584	0	-800.584	34	79	135
4100	-802.948	0	-802.948	34	79	135
4110	-803.077	0	-803.077	34	79	135
4120	-797.178	0	-797.178	34	79	135
4130	-798.494	0	-798.494	34	79	135
4140	-797.786	0	-797.786	34	79	135
4150	-797.385	0	-797.385	34	79	135
4160	-799.144	0	-799.144	34	79	135
4170	-798.254	0	-798.254	34	79	135
4180	-801.534	0	-801.534	34	79	135
4190	-796.326	0	-796.326	34	79	135
4200	-795.268	0	-795.268	34	79	135
4210	-796.775	0	-796.775	34	79	135
4220	-800.45	0	-800.45	34	79	135
4230	-798.752	0	-798.752	34	79	135
4240	-799.143	0	-799.143	34	79	135
4250	-797.515	0	-797.515	34	79	135
4260	-803.142	0	-803.142	34	79	135
4270	-799.065	0	-799.065	34	79	135
4280	-796.281	0	-796.281	34	79	135
4290	-797.758	0	-797.758	34	79	135
4300	-798.459	0	-798.459	34	79	135
4310	-796.621	0	-796.621	34	79	135
4320	-793.932	0	-793.932	34	79	135
4330	-796.75	0	-796.75	34	79	135
