R,K,O,M,H,Z
0001,0534,0654,0744,0854,6245
0534,0001,0145,0239,0419,6245
0654,0145,0001,0059,0239,6245
0744,0239,0059,0001,0082,6245
0854,0419,0239,0082,0001,6245
6245,6245,6245,6245,6245,0001
