Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5	start_6	end_6	start_7	end_7	start_8	end_8	start_9	end_9	start_10	end_10	start_11	end_11	start_12	end_12	start_13	end_13	start_14	end_14	start_15	end_15	start_16	end_16	start_17	end_17	start_18	end_18	start_19	end_19	start_20	end_20	start_21	end_21	start_22	end_22	start_23	end_23	start_24	end_24	start_25	end_25	start_26	end_26	start_27	end_27	start_28	end_28	start_29	end_29	start_30	end_30	start_31	end_31	start_32	end_32	start_33	end_33	start_34	end_34	start_35	end_35	start_36	end_36	start_37	end_37	start_38	end_38	start_39	end_39	start_40	end_40	start_41	end_41	start_42	end_42	start_43	end_43	start_44	end_44	start_45	end_45	start_46	end_46	start_47	end_47	start_48	end_48	start_49	end_49	start_50	end_50	start_51	end_51
580	6	6	6	6	6	6	4	4	3	3	3	3	4	4	37	37	4	4	37	37	2	2	2	2	2	2	2	19	2	2	2	2	37	77	3	12	2	77	2	2	4	4	2	2	3	16	6	21	3	77	6	2	25	25	6	25	6	6	2	15	2	2	2	2	2	37	2	2	2	2	2	37	2	2	2	2	87	37	3	3	4	16	87	87	87	87	2	87	2	2	2	2	2	2	6	24	6	6	6	6	6	6
600	6	6	6	6	6	6	4	4	3	3	3	3	4	4	37	37	4	4	12	37	2	2	2	2	2	2	2	19	2	2	2	2	77	77	2	12	2	77	2	2	4	4	2	2	16	16	4	21	2	77	2	2	16	16	12	37	2	12	15	15	2	2	2	15	2	77	2	2	2	2	2	12	2	2	2	2	37	37	3	3	3	16	37	37	37	37	2	37	2	2	2	2	24	2	6	24	6	6	6	6	6	6
620	6	6	6	6	6	6	4	4	3	3	3	3	4	4	37	37	4	4	2	37	2	2	2	2	2	2	2	19	2	2	2	2	77	77	2	12	15	77	2	2	4	4	2	2	4	16	4	21	15	77	24	2	4	4	2	15	6	24	2	15	15	15	15	15	12	77	2	2	2	2	2	2	2	2	2	2	37	37	3	3	3	16	37	37	37	37	2	37	2	2	2	12	2	15	6	24	6	6	6	6	6	6
640	6	6	6	6	6	6	4	4	3	3	3	3	4	4	37	37	4	4	12	37	2	2	2	2	2	2	2	19	2	2	2	2	37	77	2	12	12	77	2	2	4	4	2	2	16	16	4	21	77	77	24	2	3	16	2	77	6	24	2	15	2	12	2	2	53	37	2	2	2	2	2	12	2	2	2	2	37	37	3	3	3	16	37	37	37	37	2	37	2	2	53	53	6	53	6	6	6	6	6	6	6	6
660	6	6	6	6	6	6	4	4	3	3	3	3	4	4	37	37	4	4	2	37	2	2	2	2	2	2	2	19	2	2	2	2	77	77	2	12	37	77	2	2	6	4	2	2	16	16	4	21	12	77	24	2	3	16	2	12	6	24	24	24	2	37	24	24	2	77	2	2	2	2	2	2	2	2	2	2	37	37	3	3	3	16	37	37	37	37	2	37	2	2	2	2	6	24	6	6	6	6	6	6	6	6
680	6	6	6	6	6	6	3	4	3	3	3	3	4	4	37	37	4	4	12	37	2	2	2	2	2	2	2	19	2	2	2	2	77	77	2	12	37	77	2	2	4	4	2	2	3	16	3	21	3	77	6	2	3	3	3	3	6	25	2	15	12	37	2	12	2	77	2	2	2	2	2	12	2	2	2	2	37	37	3	3	3	3	37	37	37	37	2	37	2	2	2	2	0	2	6	22	6	6	6	6	6	6
700	6	6	6	6	6	6	4	4	3	3	3	3	4	4	16	37	4	4	37	37	2	2	2	2	2	2	2	19	2	2	2	2	43	77	2	12	2	77	2	2	4	4	2	2	4	16	4	21	15	77	2	2	4	4	2	15	2	2	15	15	2	2	4	15	2	43	2	2	2	2	37	37	15	37	56	15	3	16	3	3	16	16	4	16	4	4	56	56	56	56	56	56	24	56	6	24	6	6	6	6	6	6
720	6	6	6	6	6	6	4	4	3	3	3	3	4	4	87	37	4	4	12	37	2	2	2	2	2	2	2	19	2	2	2	2	2	77	2	12	77	77	2	2	4	4	2	2	57	16	4	21	2	77	2	2	57	57	53	87	6	53	2	15	12	77	2	12	2	2	2	2	2	2	2	12	2	2	2	2	87	87	3	3	3	16	87	87	87	87	87	87	87	87	53	87	6	53	6	6	6	6	6	6	6	6
740	6	6	6	6	6	6	4	4	3	3	16	3	4	4	37	37	4	4	12	37	2	2	2	2	2	2	2	19	2	2	24	2	37	77	3	12	2	77	2	2	4	4	2	2	16	16	4	21	12	77	2	2	3	16	2	12	2	2	2	15	2	2	2	2	2	37	2	2	2	2	12	12	2	12	2	2	37	37	4	16	4	4	37	37	37	37	2	37	24	24	24	24	24	24	6	24	6	6	6	6	6	6
760	6	6	6	6	6	6	16	4	3	3	3	3	4	4	37	37	4	4	2	37	2	2	2	2	2	2	2	19	2	2	2	2	46	77	2	12	12	77	2	2	4	4	2	2	21	16	4	21	12	77	2	2	4	21	15	37	6	15	4	15	24	12	24	56	2	46	2	2	2	2	2	2	2	2	2	2	37	37	3	3	3	16	37	37	37	37	2	37	2	2	2	2	6	24	6	6	6	6	6	6	6	6
