Iteration	Posterior	Likelihood	Prior	age_affinis	age_centrantoides	age_flynni	age_ingroup	age_littoralis	age_littoralis_flynni	alpha[1]	alpha[2]	alpha[3]	alpha[4]	alpha[5]	alpha[6]	alpha[7]	alpha[8]	alpha[9]	alpha[10]	birth	death	diversification	kappa[1]	kappa[2]	kappa[3]	kappa[4]	kappa[5]	kappa[6]	kappa[7]	kappa[8]	kappa[9]	kappa[10]	ln_mean	mu_mol_base	mu_mol_branch[1]	mu_mol_branch[2]	mu_mol_branch[3]	mu_mol_branch[4]	mu_mol_branch[5]	mu_mol_branch[6]	mu_mol_branch[7]	mu_mol_branch[8]	mu_mol_branch[9]	mu_mol_branch[10]	mu_mol_branch[11]	mu_mol_branch[12]	mu_mol_branch[13]	mu_mol_branch[14]	mu_mol_branch[15]	mu_mol_branch[16]	mu_mol_branch[17]	mu_mol_branch[18]	mu_mol_branch[19]	mu_mol_branch[20]	mu_mol_branch[21]	mu_mol_branch[22]	mu_mol_branch[23]	mu_mol_branch[24]	mu_mol_branch[25]	mu_mol_branch[26]	mu_mol_branch[27]	mu_mol_branch[28]	mu_mol_branch[29]	mu_mol_branch[30]	mu_mol_branch[31]	mu_mol_branch[32]	mu_mol_branch[33]	mu_mol_branch[34]	mu_mol_branch[35]	mu_mol_branch[36]	mu_mol_branch[37]	mu_mol_branch[38]	mu_mol_branch[39]	mu_mol_branch[40]	mu_mol_branch[41]	mu_mol_branch[42]	mu_mol_branch[43]	mu_mol_branch[44]	mu_mol_branch[45]	mu_mol_branch[46]	mu_mol_branch[47]	mu_mol_branch[48]	mu_mol_branch[49]	mu_mol_branch[50]	mu_mol_locus_rel[1]	mu_mol_locus_rel[2]	mu_mol_locus_rel[3]	mu_mol_locus_rel[4]	mu_mol_locus_rel[5]	mu_mol_locus_rel[6]	mu_mol_locus_rel[7]	mu_mol_locus_rel[8]	mu_mol_locus_rel[9]	mu_mol_locus_rel[10]	root_age	turnover
100	-38308.6	-38349.77	41.16738	2.57592	1.212876	0.3937578	3.692936	0.4287689	0.4287689	0.0145754	0.535069	0.146373	0.261517	0.54294	13.1358	0.705833	0.111923	1.35199	0.195941	1.121677	0.6987218	0.4229552	4.12251	3.42069	2.22829	2.36268	2.84176	1.54401	1.90907	1.89038	1.68478	3.26006	-4.16369	0.01847813	0.0235474	0.0114454	0.010051	0.0256933	0.0118354	0.0793508	0.0185454	0.0215264	0.0153581	0.0226488	0.0154953	0.0140631	0.0204219	0.017062	0.0646284	0.0124587	0.0062408	0.0238002	0.0179531	0.0112827	0.0231491	0.0123673	0.0435477	0.00974304	0.0302489	0.0193121	0.0291489	0.0109012	0.0520852	0.0195838	0.0217624	0.00688108	0.0105197	0.0455278	0.028854	0.0200197	0.0158023	0.00837688	0.0125469	0.037255	0.0128089	0.0120821	0.0115872	0.0118069	0.00868123	0.00255985	0.0115275	0.0127201	0.0253545	0.00850751	1	0.279005	0.553836	0.339922	0.253204	0.187145	0.213094	1.63484	0.371459	0.327678	3.692936	0.622926
110	-38312.21	-38356.37	44.15371	1.912852	1.122543	0.322984	2.746145	0.3364908	0.3364908	0.0356098	0.376542	0.2311	0.700554	0.243847	2.87088	0.256637	0.117163	0.53139	0.140772	1.088113	0.426343	0.6617696	3.29566	3.32642	1.96819	2.8835	3.13401	1.57976	2.19081	2.00526	1.6824	3.07586	-3.975394	0.02230663	0.0275935	0.0105528	0.00834165	0.0301334	0.0198591	0.0968005	0.0152495	0.0216382	0.0252097	0.0245962	0.036948	0.0183918	0.0227086	0.0253017	0.0766731	0.0162186	0.0115056	0.0359323	0.0266574	0.0134635	0.0337179	0.0118121	0.0444289	0.00392564	0.0215425	0.0225972	0.0170139	0.023171	0.0537619	0.0128128	0.0168508	0.0200259	0.008363	0.0103934	0.0148707	0.0284848	0.0127829	0.0147837	0.0423358	0.00726334	0.0243098	0.0119799	0.0159827	0.0174277	0.00639814	0.00946912	0.023011	0.0132582	0.0116674	0.0125336	1	0.299722	0.604167	0.422135	0.249066	0.249567	0.264619	1.60351	0.429522	0.400168	2.746145	0.3918188
120	-38274.61	-38357.92	83.30727	7.436043	5.135072	1.654968	13.3421	1.750292	1.750292	0.0248658	0.299533	0.186291	0.270397	0.739496	0.85401	0.705381	0.111554	0.60309	0.148348	0.3515834	0.1541012	0.1974822	3.39614	3.20701	2.47593	2.67416	2.61166	1.24287	2.30887	1.95812	1.34485	2.97043	-5.58674	0.00445282	0.00761733	0.0032423	0.00161853	0.0109626	0.00540775	0.0226805	0.00317329	0.00308749	0.00658411	0.00551359	0.00340754	0.00392632	0.00562761	0.0044149	0.0163678	0.00332896	0.00237589	0.00584568	0.00532416	0.00361172	0.00630873	0.00326105	0.0133985	0.00135757	0.00940763	0.00588271	0.00385079	0.0062449	0.00624257	0.00305596	0.00321713	0.00342171	0.00234912	0.00259194	0.00426261	0.00508398	0.00672614	0.00366742	0.00989293	0.0038101	0.00233229	0.00500348	0.00495286	0.00314224	0.00264366	0.00518685	0.0107671	0.00241752	0.00278502	0.00329432	1	0.306039	0.580931	0.425591	0.27155	0.197994	0.223582	1.55322	0.480721	0.331231	13.3421	0.4383062
130	-38246.73	-38351.38	104.6526	20.19776	9.318066	3.676157	31.75863	4.056747	4.056747	0.0484172	0.498773	0.255961	0.632772	0.418566	2.21545	0.332967	0.116558	0.523794	0.314327	0.1170742	0.03336169	0.0837125	3.46464	3.34613	2.35931	2.55084	2.33165	1.48794	3.10482	1.86652	1.55291	3.70138	-6.19355	0.002427173	0.00160638	0.000952616	0.000938531	0.00252654	0.00123774	0.00768024	0.00194368	0.00285066	0.00245493	0.0020307	0.00163449	0.00169028	0.00245853	0.00215577	0.00721879	0.00174661	0.00137829	0.00328972	0.00250232	0.00153936	0.00248957	0.00130099	0.00517494	0.000790213	0.00248397	0.00239694	0.00138072	0.00192879	0.0037134	0.0105202	0.00339924	0.00158852	0.000964477	0.00308831	0.001658	0.00170926	0.00153297	0.00271873	0.00145528	0.00193612	0.00376208	0.002871	0.00180265	0.00132587	0.0012522	0.00149164	0.00200798	0.00233472	0.00316738	0.00125519	1	0.306039	0.606113	0.359693	0.262897	0.191883	0.21705	1.45069	0.371194	0.342719	31.75863	0.284962
140	-38276.78	-38336.35	59.56807	3.44555	2.46178	0.922982	8.081578	0.9613019	0.9613019	0.0435348	0.358613	0.237189	0.367074	0.217094	0.266241	0.484754	0.108394	1.62539	0.0585535	0.8878988	0.7227773	0.1651215	4.00584	3.70281	2.2633	2.4744	3.29323	2.4403	2.07244	1.78416	1.78011	2.86661	-4.729412	0.01049465	0.0146192	0.00553448	0.00469718	0.0101995	0.00439448	0.03733	0.0102032	0.0123922	0.0126657	0.0107343	0.0105998	0.00829313	0.0136388	0.00697307	0.0335709	0.00698615	0.00346333	0.0121907	0.0251218	0.0167878	0.0132097	0.00507389	0.0211166	0.00462432	0.0120119	0.0162101	0.0202151	0.0108189	0.00743948	0.0135103	0.00289347	0.00531533	0.004492	0.00424332	0.00320785	0.00494783	0.010945	0.00435803	0.00598207	0.00688057	0.00859984	0.00355382	0.010866	0.00617612	0.0123295	0.00579858	0.00973852	0.00989625	0.00512697	0.00646095	1	0.292044	0.526992	0.383686	0.234724	0.228351	0.217928	1.49161	0.340748	0.315218	8.081578	0.8140312
150	-38275.13	-38346.46	71.32721	5.015284	3.998153	1.381406	12.4042	1.431058	1.431058	0.0955044	0.361909	0.282486	0.359705	0.300801	0.0605213	2.86457	0.109103	1.27341	0.107211	0.2248995	0.0512363	0.1736632	2.96191	3.67825	2.45046	2.4609	2.44817	1.92765	2.47184	1.72422	1.9251	2.98064	-4.991024	0.008078885	0.0122397	0.00473769	0.00440906	0.00765556	0.00362112	0.0191673	0.00552843	0.00627854	0.00443426	0.0100339	0.00655471	0.0058874	0.00709938	0.00604778	0.0181515	0.00475183	0.00293265	0.00754551	0.0058007	0.00419813	0.0098495	0.00413116	0.0260256	0.00320884	0.0152095	0.0113572	0.0113838	0.0070111	0.00589021	0.00690137	0.00762591	0.00295922	0.00392363	0.0151518	0.00176055	0.00532686	0.00363698	0.0112951	0.0108432	0.00531857	0.00611022	0.00270704	0.00640804	0.00425404	0.00377701	0.00372251	0.00928503	0.00368889	0.00780502	0.00414098	1	0.259912	0.482412	0.324241	0.202653	0.144313	0.198909	1.41098	0.352736	0.293274	12.4042	0.2278186
160	-38317.02	-38359.24	42.2165	2.471231	2.345086	0.6005808	5.822533	0.6740568	0.6740568	0.0474756	0.439661	0.20336	0.233212	0.317891	0.122257	1.3827	0.108834	3.36114	0.165583	0.7281741	0.4203495	0.3078246	5.29562	2.82593	2.33827	2.62159	2.89636	1.80433	2.06366	2.21663	2.00167	3.12271	-4.269711	0.01661933	0.0183536	0.0047449	0.00721964	0.0244808	0.0115213	0.0617565	0.00928367	0.016157	0.019052	0.0245667	0.017606	0.013732	0.0147904	0.0176109	0.055832	0.0117493	0.00965552	0.0250407	0.0171389	0.0107785	0.0148607	0.00581173	0.0471832	0.00755577	0.0247669	0.0221291	0.0169384	0.0191251	0.0127414	0.0278224	0.00653577	0.0149442	0.00585344	0.0110692	0.00784968	0.00710837	0.00699604	0.0233254	0.0195609	0.00999277	0.00787453	0.0230763	0.0148275	0.00793945	0.00749856	0.00990441	0.037262	0.012795	0.0133011	0.0100067	1	0.236161	0.456787	0.329748	0.177132	0.143555	0.164688	1.14593	0.283703	0.266681	5.822533	0.5772651
170	-38282.5	-38342.62	60.12301	6.388471	4.303713	1.099856	10.11124	1.216066	1.216066	0.0854978	0.43888	0.21776	0.554512	0.250484	0.554149	0.494461	0.073556	1.1268	0.124832	0.3971847	0.2858263	0.1113584	3.06022	3.35493	2.23248	2.22362	2.69351	1.87507	2.51573	1.80202	1.54724	2.82906	-4.74608	0.01032118	0.01218	0.00622886	0.00413104	0.00987155	0.00644598	0.0317227	0.0101253	0.0117251	0.00801895	0.0068112	0.00669613	0.00640348	0.00772365	0.00704152	0.033829	0.00711843	0.00250137	0.00746718	0.0058382	0.00413425	0.00846586	0.00337418	0.0288424	0.00279367	0.0172114	0.00987937	0.00694086	0.00626585	0.0103203	0.0132059	0.0169122	0.00719167	0.00524876	0.0161889	0.0126763	0.00917955	0.0072791	0.0102766	0.00733854	0.0109398	0.011162	0.0108846	0.00665685	0.00426144	0.0138622	0.0059021	0.0194384	0.00804085	0.00727143	0.0058217	1	0.226014	0.505412	0.29123	0.17512	0.1592	0.15674	1.06515	0.338687	0.230684	10.11124	0.7196307
180	-38291.23	-38348.37	57.14049	3.194689	2.712768	0.8204127	7.294885	0.9089531	0.9089531	0.0323781	0.47866	0.222311	0.233848	0.25661	0.595043	0.374122	0.119894	1.96051	0.312211	0.5470822	0.06183722	0.485245	2.92362	3.29158	2.06936	2.60791	2.60433	2.12092	2.77113	1.91468	1.52093	2.45936	-4.676403	0.01106597	0.0198377	0.00826042	0.00586592	0.0183245	0.00758563	0.0489078	0.00809939	0.0116561	0.00989702	0.0110845	0.00972821	0.00969921	0.00819222	0.00741548	0.0398147	0.00739484	0.00288235	0.0107183	0.0120889	0.00748131	0.0155887	0.00532392	0.0477374	0.00456308	0.0261597	0.017936	0.0119552	0.0159492	0.0081949	0.00666524	0.00462401	0.00766857	0.00725235	0.00682766	0.0181876	0.00704323	0.0133095	0.00801151	0.011896	0.0131788	0.00941138	0.0068159	0.0103339	0.00695597	0.0055579	0.00373068	0.0241603	0.0111548	0.00574853	0.00892723	1	0.247564	0.494378	0.331664	0.191058	0.163636	0.179521	1.33751	0.313573	0.288757	7.294885	0.1130309
190	-38298.63	-38355.85	57.22079	3.337758	2.327137	0.6542532	6.791594	0.8044801	0.8044801	0.0520433	0.812107	0.270638	0.532057	0.331931	0.410258	0.613906	0.120006	0.513397	0.178157	0.5823219	0.2405443	0.3417776	2.92443	3.45422	2.28328	2.85366	2.78568	1.55079	2.06004	1.54719	2.15157	2.98048	-4.320252	0.01580025	0.0204669	0.0113114	0.00732034	0.0206541	0.0108232	0.0457923	0.0104783	0.0132155	0.012007	0.0256166	0.0140621	0.0138171	0.0128287	0.0144236	0.0455059	0.00879764	0.00696514	0.0259376	0.0108795	0.00760476	0.0247713	0.00909838	0.0198373	0.00339924	0.0121097	0.0180991	0.021556	0.0170615	0.0117795	0.00629903	0.0108188	0.00730792	0.00466318	0.0085278	0.0139266	0.0134908	0.00697533	0.0096093	0.00901762	0.0097076	0.0190852	0.0144715	0.00821819	0.00728208	0.00785501	0.0077803	0.0109697	0.0161107	0.0132629	0.00685264	1	0.222163	0.514717	0.341925	0.200076	0.203173	0.176485	1.36139	0.293325	0.299124	6.791594	0.4130778
