Iteration	Posterior	Likelihood	Prior	age_affinis	age_centrantoides	age_flynni	age_ingroup	age_littoralis	age_littoralis_flynni	alpha[1]	alpha[2]	alpha[3]	alpha[4]	alpha[5]	alpha[6]	alpha[7]	alpha[8]	alpha[9]	alpha[10]	birth	death	diversification	kappa[1]	kappa[2]	kappa[3]	kappa[4]	kappa[5]	kappa[6]	kappa[7]	kappa[8]	kappa[9]	kappa[10]	ln_mean	mu_mol_base	mu_mol_branch[1]	mu_mol_branch[2]	mu_mol_branch[3]	mu_mol_branch[4]	mu_mol_branch[5]	mu_mol_branch[6]	mu_mol_branch[7]	mu_mol_branch[8]	mu_mol_branch[9]	mu_mol_branch[10]	mu_mol_branch[11]	mu_mol_branch[12]	mu_mol_branch[13]	mu_mol_branch[14]	mu_mol_branch[15]	mu_mol_branch[16]	mu_mol_branch[17]	mu_mol_branch[18]	mu_mol_branch[19]	mu_mol_branch[20]	mu_mol_branch[21]	mu_mol_branch[22]	mu_mol_branch[23]	mu_mol_branch[24]	mu_mol_branch[25]	mu_mol_branch[26]	mu_mol_branch[27]	mu_mol_branch[28]	mu_mol_branch[29]	mu_mol_branch[30]	mu_mol_branch[31]	mu_mol_branch[32]	mu_mol_branch[33]	mu_mol_branch[34]	mu_mol_branch[35]	mu_mol_branch[36]	mu_mol_branch[37]	mu_mol_branch[38]	mu_mol_branch[39]	mu_mol_branch[40]	mu_mol_branch[41]	mu_mol_branch[42]	mu_mol_branch[43]	mu_mol_branch[44]	mu_mol_branch[45]	mu_mol_branch[46]	mu_mol_branch[47]	mu_mol_branch[48]	mu_mol_branch[49]	mu_mol_branch[50]	mu_mol_locus_rel[1]	mu_mol_locus_rel[2]	mu_mol_locus_rel[3]	mu_mol_locus_rel[4]	mu_mol_locus_rel[5]	mu_mol_locus_rel[6]	mu_mol_locus_rel[7]	mu_mol_locus_rel[8]	mu_mol_locus_rel[9]	mu_mol_locus_rel[10]	root_age	turnover
100	-38294.5	-38360.67	66.16281	3.413566	1.856515	1.223298	5.293425	1.267583	1.267583	0.0247273	0.462799	0.250845	0.435175	0.0499298	0.000590506	2.9054	0.109705	6.32692	0.165518	0.4482752	0.05413888	0.3941363	3.78347	3.30223	2.67643	3.15759	2.98673	1.42189	2.03079	2.24421	1.52205	3.56176	-4.899757	0.008850909	0.01349	0.00746202	0.00600762	0.0119579	0.00524182	0.0272536	0.00665152	0.0105873	0.00585255	0.00845298	0.00690346	0.0038191	0.00536884	0.00366769	0.019164	0.013596	0.00321344	0.0103194	0.0120147	0.00956428	0.0186301	0.00585298	0.0351518	0.00402821	0.026087	0.0137017	0.0127725	0.00817054	0.0101519	0.00793797	0.00673725	0.0108521	0.00871357	0.00667009	0.0109074	0.00731734	0.00520128	0.0117266	0.00541441	0.00363571	0.01159	0.00840698	0.00532758	0.0307656	0.00528706	0.00284759	0.0148795	0.0146146	0.0075792	0.00847407	1	0.332061	0.68845	0.453229	0.297047	0.170555	0.251551	1.59822	0.338554	0.381262	5.293425	0.1207715
110	-38303.04	-38359.09	56.0542	2.322602	1.576412	1.158253	5.131508	1.214121	1.214121	0.0874405	0.881655	0.227625	0.433794	0.129944	0.00132265	0.452408	0.11379	1.04245	0.176407	0.484936	0.02737463	0.4575614	4.21203	3.4532	2.08625	2.707	2.88168	1.98499	2.92129	1.86982	1.70719	2.84708	-4.480312	0.01346327	0.0141422	0.00606927	0.00855216	0.0136937	0.00874305	0.0351623	0.0127828	0.0231462	0.00515419	0.00915934	0.00550902	0.00508766	0.00569888	0.00578683	0.0186239	0.0132952	0.00940383	0.0166799	0.0170123	0.0096057	0.0228492	0.00805485	0.0353347	0.00525242	0.0169799	0.0204535	0.0186507	0.0116727	0.00832006	0.0103765	0.0101524	0.0103466	0.00612237	0.00679586	0.00863084	0.00400042	0.00996109	0.00561014	0.00354841	0.005279	0.0050524	0.0389834	0.00346293	0.0198163	0.00830088	0.0229195	0.0118373	0.0164645	0.0344499	0.00965095	1	0.290513	0.638936	0.383381	0.282848	0.20653	0.23118	1.81814	0.40004	0.371204	5.131508	0.05644999
120	-38309.21	-38350.52	41.31187	1.493496	1.18034	0.7115456	3.107329	0.7332427	0.7332427	0.0537475	0.51266	0.234525	0.239175	0.288235	0.000641444	0.648961	0.094647	0.644842	0.125299	1.327688	0.9539572	0.3737307	3.77787	2.92074	2.25432	2.62264	3.1486	2.66704	2.96067	2.09108	1.42663	3.22014	-3.979984	0.02220448	0.0456494	0.0345541	0.0178235	0.0180956	0.0112962	0.0730836	0.0167902	0.0172678	0.0235802	0.0190247	0.0122345	0.00858219	0.0156624	0.00822098	0.0324889	0.0199786	0.00592565	0.0199561	0.0247069	0.0164206	0.0336005	0.0115728	0.0603746	0.00693262	0.0391564	0.0389476	0.0356968	0.0222784	0.0234199	0.0146689	0.0215682	0.025723	0.018761	0.0127799	0.0037578	0.00807647	0.0150705	0.0138768	0.0175427	0.0190499	0.0125033	0.0261267	0.00503468	0.0249983	0.0164232	0.012116	0.0280714	0.0166608	0.0409729	0.0130982	1	0.277562	0.502884	0.347817	0.203669	0.160488	0.233831	1.39447	0.320099	0.334969	3.107329	0.7185101
130	-38294.58	-38355.74	61.16051	4.806347	2.582818	1.350997	6.286194	1.392242	1.392242	0.0132656	0.471838	0.261793	0.183215	0.753735	0.000213823	0.265183	0.0943945	2.93105	0.208939	0.6392898	0.2661271	0.3731626	2.75665	3.07132	2.39257	3.17979	2.56863	1.13462	2.53167	1.56939	1.40156	2.37424	-4.594405	0.0120116	0.0330787	0.0122223	0.00637118	0.0161707	0.00724271	0.0409156	0.0145235	0.0161644	0.00851749	0.00730738	0.00543923	0.00593051	0.00701996	0.00520098	0.0243761	0.0124927	0.00413466	0.0135049	0.0116819	0.0111113	0.0209162	0.0106291	0.0265377	0.00410008	0.0144078	0.0121509	0.0198157	0.00812742	0.0206152	0.00590585	0.00892419	0.0175189	0.010238	0.00902837	0.00916509	0.00789951	0.00987591	0.00641048	0.00506024	0.0166587	0.00402778	0.00857514	0.0033853	0.0114295	0.0110772	0.0072797	0.0372319	0.0148394	0.0100238	0.0100223	1	0.212852	0.455012	0.285712	0.199662	0.171239	0.169759	1.17659	0.320292	0.270978	6.286194	0.4162856
140	-38316.95	-38357.22	40.27146	2.936194	1.579239	0.8563746	3.788581	0.8865108	0.8865108	0.10266	0.369001	0.152723	0.580539	0.30835	0.000472434	0.69449	0.0727267	1.62509	0.0825775	0.6200753	0.1869952	0.4330801	3.23644	3.36807	2.41359	2.54716	3.56895	1.54967	1.88706	1.94208	1.5357	2.85697	-4.045309	0.02080033	0.0282008	0.0186603	0.0153413	0.0345002	0.013674	0.0598698	0.0119656	0.0264749	0.0186302	0.0215603	0.0128563	0.0121417	0.0148411	0.017895	0.035105	0.0211546	0.00921627	0.0320672	0.0305564	0.0196811	0.0319482	0.0125067	0.0506451	0.00770766	0.0317746	0.0211031	0.0171364	0.0200996	0.0492855	0.0134073	0.00740739	0.0305668	0.0124377	0.00817207	0.00521504	0.00917344	0.00679921	0.023433	0.0077856	0.0130565	0.0186606	0.00824157	0.00626851	0.0190998	0.0322407	0.015101	0.0164973	0.0484572	0.0377848	0.0105651	1	0.218289	0.430308	0.276571	0.176302	0.177246	0.163072	0.947527	0.279462	0.230481	3.788581	0.3015686
150	-38302.81	-38355.95	53.13543	3.550129	2.180786	1.175395	5.2787	1.287746	1.287746	0.0309684	0.45365	0.234104	0.203269	0.420842	0.00435096	0.398676	0.107391	0.542048	0.167186	0.5486469	0.1154574	0.4331895	2.73912	3.27305	2.75392	2.49722	2.61038	1.33971	2.17294	2.02312	2.08447	2.93502	-4.299242	0.01613571	0.0368343	0.0180634	0.0119567	0.0143844	0.00974678	0.043477	0.0153093	0.0133431	0.0129257	0.00945139	0.0138714	0.00500432	0.00831136	0.0104244	0.0223954	0.0127953	0.00546396	0.0194691	0.0168128	0.0146234	0.0210174	0.00964102	0.0234509	0.00441042	0.0105966	0.0182512	0.0165257	0.016786	0.0309226	0.00799188	0.00453834	0.0251553	0.00715952	0.00289586	0.00451223	0.00932338	0.0128544	0.0101099	0.0112389	0.00871206	0.0223273	0.0150637	0.0024884	0.0162141	0.0174326	0.0187661	0.0118916	0.0171732	0.0123658	0.00807026	1	0.259338	0.460487	0.302672	0.204358	0.15756	0.169937	1.33374	0.344031	0.281769	5.2787	0.2104403
160	-38302.23	-38348.97	46.73565	3.111046	1.899897	0.9872717	4.139993	1.050588	1.050588	0.0988272	0.376404	0.199739	0.567531	0.169231	0.0249571	2.16629	0.106259	1.10921	0.186357	0.5738822	0.2467236	0.3271586	3.76373	3.02654	2.16937	2.21712	3.68406	1.36122	2.43991	2.11952	1.947	3.1169	-4.266206	0.01667768	0.0262007	0.0107672	0.0112963	0.0259522	0.0144501	0.0459024	0.0126334	0.0137818	0.0161761	0.015585	0.0103422	0.00965949	0.0088688	0.0113865	0.0332034	0.0167129	0.00860707	0.0499636	0.0147813	0.00937922	0.0180868	0.00795711	0.0327069	0.00461505	0.0219817	0.0199638	0.0184387	0.0160355	0.044166	0.0359612	0.0259458	0.0161064	0.00781532	0.0036433	0.00699583	0.00790269	0.00501029	0.013573	0.0141854	0.00993285	0.00632409	0.0134591	0.0052274	0.0201402	0.0150021	0.0192099	0.0210691	0.0175153	0.0149557	0.0127494	1	0.233392	0.476289	0.312005	0.227614	0.124065	0.166995	1.20891	0.311251	0.280409	4.139993	0.4299203
170	-38321.54	-38361.64	40.10652	2.278499	1.963351	0.9065192	3.937077	0.9707006	0.9707006	0.0662827	0.359189	0.184813	0.411968	0.183817	0.0347891	0.678461	0.103756	0.859841	0.124162	0.7687341	0.2006047	0.5681294	3.91708	3.60516	2.68956	2.53636	3.75024	1.57151	1.6621	2.00514	1.59841	3.06712	-4.071269	0.02026729	0.0279795	0.0100277	0.00855584	0.0218883	0.00906608	0.0657965	0.0176273	0.0232948	0.010146	0.0124363	0.011485	0.00772622	0.0123461	0.0116779	0.0261766	0.0169063	0.0188671	0.0655231	0.0132144	0.00689637	0.0236016	0.00852627	0.0371138	0.00534515	0.022446	0.0265816	0.0346312	0.019385	0.0319364	0.00979056	0.0299596	0.044845	0.00792819	0.00853911	0.0108845	0.0127347	0.0330359	0.00298211	0.0148811	0.0194185	0.00886622	0.0212752	0.00745496	0.014284	0.012533	0.0105128	0.0213651	0.0235106	0.0175941	0.00944945	1	0.227748	0.488725	0.326788	0.210382	0.138501	0.202712	1.12688	0.307603	0.285226	3.937077	0.2609546
180	-38290.96	-38346.57	55.61128	2.528236	1.498001	1.0204	4.205225	1.044037	1.044037	0.06396	0.489444	0.27786	0.405442	0.23542	0.225444	1.42783	0.0774505	1.02573	0.180205	0.8163457	0.07845559	0.7378901	2.99166	3.01748	2.1561	2.68965	2.75953	1.13966	2.55268	2.2191	1.49943	2.58736	-4.47098	0.0135895	0.0296887	0.015187	0.00802951	0.0228947	0.0125946	0.0359504	0.0140057	0.0154696	0.0140981	0.00693582	0.00709267	0.00977391	0.0125426	0.00834442	0.0307347	0.0155912	0.00376825	0.0110189	0.0211466	0.0143941	0.0326441	0.0120575	0.0259303	0.00526981	0.0156792	0.0242255	0.0149195	0.0322377	0.0323085	0.0117265	0.0212745	0.010882	0.0126759	0.017599	0.00513139	0.0180749	0.00632925	0.0194786	0.00607775	0.00572261	0.00764413	0.00548594	0.0130447	0.0197699	0.00523773	0.00954091	0.0236408	0.00788849	0.00906034	0.0111213	1	0.248639	0.532453	0.325507	0.190775	0.178163	0.189924	1.09867	0.311445	0.284498	4.205225	0.09610584
190	-38293.26	-38339.94	46.67821	2.843698	1.700995	0.8462744	3.520021	0.849844	0.849844	0.0902646	0.441167	0.276037	0.558287	0.137697	0.675391	0.486483	0.100032	0.858305	0.177852	0.8965793	0.2993248	0.5972544	4.17537	3.22531	2.25191	1.9531	2.60068	1.36659	2.28587	1.91188	1.86789	3.31946	-4.222439	0.01742382	0.0396733	0.0160624	0.00917065	0.0210549	0.00829999	0.0417236	0.0124438	0.0196326	0.0145524	0.01009	0.00916573	0.0144626	0.01081	0.011957	0.0369962	0.0192882	0.00812727	0.0252249	0.017714	0.0121696	0.0306223	0.0105405	0.0336555	0.00407055	0.0210119	0.0235332	0.0208791	0.0217112	0.0873987	0.0116039	0.01428	0.023862	0.0135255	0.011989	0.0111597	0.0137911	0.0184189	0.0125449	0.00888549	0.0127229	0.00874647	0.00398965	0.0122928	0.0165227	0.0135073	0.0202254	0.0180112	0.0494255	0.0100825	0.0126658	1	0.217891	0.45418	0.288553	0.175826	0.1403	0.154521	1.15238	0.314118	0.280944	3.520021	0.333852
