Iteration	Posterior	Likelihood	Prior	age_extant	age_Kretzoiarctos_beatrix	alpha_cytb	alpha_morpho	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates_mean	clock_morpho	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	F[1]	F[2]	F[3]	F[4]	F[5]	F[6]	F[7]	F[8]	F[9]	F[10]	F[11]	F[12]	F[13]	F[14]	num_samp_anc	origin_time	psi	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	t[14]	turnover
100	-4118.43	-4143.91	25.4799	44.14468	11.7996	0.151815	1.310128	0.0140264	0.0218471	0.0082961	0.00222029	0.00681302	0.00625979	0.00523446	0.00698408	0.00953761	0.0268473	0.0148645	0.0186912	0.00879698	0.00860774	0.00209879	0.00740093	0.00249569	0.0152802	0.0146986	0.00756665	0.0216625	0.0135914	0.00676911	0.00651008	0.000140921	0.002955	0.00202479	0.00673425	0.0128511	0.0014264	0.00769521	0.019367	0.0347443	0.00621726	0.00893576	0.004744	0.0224233	0.00214361	0.00407504	0.017394	0.00260891	0.00785002	0.01508754	0.02338299	0.03356607	0.00684127	0.512202	0.00649597	0.00768072	0.466077	0.000703615	0.2139541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	48.94133	0.03314804	5.92633e-05	0.0113697	0.247294	3.74128	0.194446	0.553565	1.03701	2.21498	0.306889	0.300162	0.121643	0.271306	0.2475201	16.5614	37.199	7.93307	7.25934	5.01822	19.3897	11.7996	5.23434	1.0933	7.74147	14.0926	20.1042	0.175902	5.29232	0.8643906
110	-4124.41	-4147.99	23.5866	43.06636	11.7996	0.1622676	2.035784	0.0241187	0.017435	0.0073551	0.00275465	0.00339849	0.0107783	0.00411551	0.013702	0.0336753	0.0239686	0.0237791	0.0160424	0.00595979	0.00415799	0.00797009	0.0097228	0.00478157	0.00988163	0.00539603	0.0175446	0.0181442	0.0126547	0.033526	0.00758396	3.07343e-05	0.00335112	0.00708431	0.00788847	0.00859837	0.00341217	0.00647107	0.0128754	0.00515227	0.0150351	0.0160654	0.00289159	0.0122316	0.0116667	0.00524965	0.0285876	0.000954997	0.0128471	0.01378909	0.01956611	-0.01670352	0.00756754	0.510608	0.0127083	0.00883981	0.459017	0.00125965	0.163416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	47.99447	0.01686193	0.000106555	0.0152224	0.278441	3.70623	0.297509	0.658766	1.07086	1.97287	0.272531	0.30585	0.143029	0.278591	0.1467125	16.6724	37.199	7.93307	8.45661	5.20902	19.1891	11.7996	5.23434	2.07324	8.06172	15.0497	20.1042	0.175902	5.28464	1.113852
120	-4130.58	-4157.28	26.7027	45.90104	11.78584	0.197944	2.136302	0.0216744	0.00315166	0.00411635	0.00044061	0.00447272	0.0184853	0.0123094	0.0368901	0.0193569	0.0147037	0.0231601	0.0111175	0.010648	0.00328324	0.00675372	0.00584589	0.00324214	0.00959985	0.00704061	0.00807589	0.0119468	0.0154434	0.0205222	0.00630867	0.000592488	0.00388921	0.00467944	0.00642916	0.0160679	0.0112337	0.0103971	0.00313641	0.00265258	0.0101505	0.0214855	0.00254288	0.00492366	0.00232524	0.00323976	0.00958975	0.00195488	0.00808893	0.01086789	0.01368627	0.02395981	0.026333	0.527791	0.00574771	0.00541379	0.43336	0.00135436	0.1520563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	49.42404	0.01942061	0.000494436	0.0325979	0.378271	3.58864	0.30902	0.668767	1.07305	1.94916	0.308069	0.292144	0.143017	0.25677	0.1760161	16.7411	37.199	8.67669	5.23818	5.20902	19.1388	11.7858	8.81554	2.07324	7.59046	15.0497	20.1042	0.175902	5.28534	0.8638771
130	-4119.73	-4148.69	28.9543	43.58597	11.79461	0.1682852	1.227935	0.0233323	0.00150321	0.0109096	0.000207911	0.0105618	0.0112252	0.00429321	0.0165756	0.0239738	0.0128224	0.0295238	0.002151	0.0139282	0.00179092	0.00381109	0.00555281	0.00370719	0.0096622	0.0045277	0.0070513	0.0125322	0.00851244	0.0568561	0.00944762	0.000191024	0.00540348	0.00268956	0.011677	0.0187363	0.0177921	0.00793508	0.00216503	0.00542526	0.00977222	0.0360957	0.00367007	0.00274388	0.00463598	0.0104857	0.011985	0.00544566	0.00575657	0.01013146	0.02563445	0.04677684	0.0207674	0.522981	0.00528326	0.00444457	0.443412	0.00311188	0.1202885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	48.29314	0.03759718	0.000144499	0.0177105	0.296046	3.6861	0.180079	0.535971	1.02946	2.25449	0.305347	0.301094	0.147298	0.246261	0.1670654	16.6748	37.199	8.67669	7.63245	5.50368	19.1388	11.7946	8.63778	2.29748	8.1977	15.0497	20.1042	0.175902	3.45556	0.7200087
140	-4115.77	-4146.85	31.0739	49.86832	11.79461	0.163512	0.770995	0.0187993	0.00407883	0.0107971	0.0011081	0.00875053	0.0332028	0.00789963	0.00885598	0.0285064	0.00650645	0.0336154	0.00359017	0.00786209	0.00567428	0.003513	0.0081221	0.00496152	0.0101574	0.00265282	0.00778223	0.0208275	0.0135396	0.0192433	0.00712034	0.000606391	0.00486657	0.0067268	0.0150098	0.0255829	0.00902611	0.0104345	0.0125587	0.00529405	0.00381835	0.00709527	0.00346334	0.00646934	0.00746739	0.00900741	0.0109981	0.00994908	0.00772403	0.01016873	0.01448059	-0.005263978	0.00906744	0.547018	0.00781941	0.00477103	0.429337	0.00198668	0.1124291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	52.03461	0.03765269	0.000113692	0.015721	0.282103	3.70206	0.0893736	0.395189	0.948582	2.56686	0.292074	0.315947	0.123164	0.268814	0.1071651	16.6748	34.4154	8.67669	6.82449	6.62179	19.7743	11.7946	9.68574	1.07466	8.0248	15.3193	20.1042	0.175902	3.15776	1.04912
150	-4107.71	-4148.99	41.281	48.50533	11.72558	0.1742077	0.5635357	0.0174917	0.00300194	0.0426179	0.000552159	0.00900068	0.0145384	0.00885183	0.00686037	0.0135515	0.0142677	0.0293473	0.00475494	0.00397939	0.00100002	0.00233104	0.00648731	0.0040612	0.00978531	0.00721258	0.00496836	0.0217269	0.0190246	0.0103897	0.00818549	0.000915148	0.0052121	0.00168775	0.0134282	0.0111097	0.00288124	0.0140786	0.00492681	0.00212289	0.00598155	0.0185736	0.0019844	0.0032134	0.00923827	0.00392877	0.00798851	0.0137767	0.0134619	0.009749305	0.02363383	0.0162467	0.0179215	0.480587	0.00876962	0.00170792	0.489711	0.00130271	0.1142093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	53.78513	0.04130477	0.000191039	0.0203448	0.313099	3.66637	0.0456854	0.291385	0.861511	2.80142	0.299676	0.322324	0.113344	0.264656	0.130456	16.7465	36.4367	8.67669	6.47439	7.70882	19.1314	11.7256	9.64259	2.13003	8.0248	15.3193	20.1042	0.126636	4.91066	0.8754623
160	-4118.93	-4149.14	30.2037	39.72656	11.74845	0.1880635	0.6214429	0.0139708	0.00499682	0.0201588	0.000481457	0.0140501	0.00680683	0.0123107	0.00555286	0.0211964	0.0100072	0.0217904	0.00515157	0.00535412	0.000561084	0.00235414	0.0100512	0.00228477	0.00959489	0.00658956	0.0129584	0.0209334	0.00979988	0.0122903	0.00652974	0.00558752	0.00506376	0.00886135	0.0206142	0.0133988	0.0157781	0.01449	0.00169963	0.00702199	0.0025262	0.0242404	0.000793851	0.0108718	0.00961378	0.00576668	0.00615142	0.0066374	0.0122919	0.009437801	0.01997954	0.03175923	0.0105436	0.551964	0.00703154	0.00327829	0.418424	0.00875855	0.1528347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	50.17527	0.03412682	0.000342688	0.0271856	0.351794	3.62068	0.0575586	0.323983	0.891876	2.72658	0.30086	0.310995	0.13149	0.256655	0.1845939	16.7976	35.9388	8.63272	6.47439	7.70882	17.3638	11.7485	9.60759	2.13003	8.0248	15.3193	20.1042	0.126636	5.25965	0.8279508
170	-4114.21	-4152.95	38.7386	38.59085	11.74845	0.1691962	1.088129	0.0236434	0.0156844	0.0075786	0.000127453	0.0122928	0.0123327	0.00526554	0.010711	0.0244572	0.0323663	0.0306599	0.00719084	0.0108203	0.000175562	0.00639224	0.0122303	0.0030625	0.00879916	0.0122397	0.00794342	0.0135657	0.00885099	0.00647445	0.0077683	0.0113568	0.0111132	0.00674839	0.0035532	0.0175482	0.0138112	0.0140944	0.000262202	0.00409026	0.00269617	0.0139999	0.000950539	0.0183796	0.00821896	0.00526888	0.00900877	0.00963885	0.0050517	0.009064487	0.02210363	0.02440398	0.0112113	0.420712	0.0101024	0.00261775	0.542857	0.012499	0.09641349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	50.96612	0.04238657	0.000151032	0.0181039	0.298688	3.68306	0.154195	0.501728	1.01319	2.33088	0.299973	0.282069	0.143073	0.274885	0.1208175	16.8255	36.7786	8.63272	9.58775	7.74624	16.395	11.7485	9.66672	2.13003	8.16214	14.9763	20.1439	0.126636	5.25965	0.7980095
180	-4119.68	-4148.63	28.9544	28.98206	11.78841	0.2057688	0.5609	0.0231112	0.0152971	0.00174407	0.00188004	0.00578967	0.0426868	0.004249	0.00906322	0.0416606	0.0248184	0.0206994	0.00898668	0.0124586	0.000985828	0.00294657	0.00650372	0.00454516	0.0114793	0.0204745	0.0100382	0.0159501	0.0142064	0.0365673	0.01035	0.00502955	0.02284	0.00603009	0.00218136	0.032556	0.0249054	0.0200318	0.000255119	0.00716377	0.00195264	0.0199561	0.00166158	0.043597	0.00834245	0.00335906	0.00759117	0.0140136	0.00597731	0.01098006	0.01991325	0.02700189	0.00704131	0.475342	0.00736642	0.00553805	0.494602	0.0101104	0.119588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	49.96243	0.03903272	0.000644642	0.0371684	0.398545	3.56364	0.0451575	0.289826	0.85998	2.80504	0.321678	0.275103	0.14543	0.257789	0.1465899	16.8676	36.7786	8.63272	9.68437	7.02243	16.395	11.7884	9.69886	1.97131	8.16214	14.9763	20.1439	0.126636	5.27605	0.8157998
190	-4137.82	-4157.86	20.0479	30.62546	11.78841	0.1862298	0.4309772	0.0194753	0.031312	0.00662449	0.00169485	0.00361496	0.0217425	0.00479142	0.0148966	0.0174017	0.0274398	0.0267893	0.0109773	0.0471411	0.00051738	0.0117435	0.0122283	0.0123174	0.007922	0.0411643	0.0112847	0.0193188	0.0101796	0.061249	0.007534	0.00116182	0.0677807	0.00431492	0.00409646	0.0124827	0.0284978	0.0129989	0.000254583	0.0154587	0.00211986	0.0598434	0.00437838	0.0323579	0.0157898	0.00377449	0.0340384	0.0121319	0.019188	0.02088182	0.02530572	0.0534858	0.0106026	0.417438	0.0146158	0.00121202	0.548809	0.00732176	0.1041877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	47.51699	0.05007709	0.000318777	0.0262283	0.346775	3.62668	0.0214252	0.204494	0.762738	3.01134	0.32093	0.286672	0.144015	0.248383	0.1576735	16.8676	36.3064	8.63272	9.68437	7.74406	22.109	11.7884	9.69886	1.97131	7.62301	14.9763	22.1427	0.126636	4.37278	0.6607812
