Iteration	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]
0	-2009.822	-2091.428	81.60597	1	1.00024	1.0006	1.00123	1.00121	1.00001	0.99954	1.00031	1.00025	1.00032
10	-1549.08	-1578.973	29.89218	0.469018	0.462325	0.462327	0.461191	0.460618	0.460439	0.487263	0.483539	0.510334	0.510284
20	-1542.723	-1579.492	36.7687	0.469018	0.471946	0.471947	0.474994	0.474195	0.470333	0.47138	0.480119	0.480171	0.479853
30	-1539.668	-1578.237	38.56894	0.469018	0.47064	0.470816	0.472881	0.457779	0.457921	0.457894	0.472532	0.472589	0.472155
40	-1558.997	-1578.446	19.44962	0.469018	0.468711	0.469093	0.469367	0.467651	0.46937	0.469611	0.469394	0.469249	0.469264
50	-1550.382	-1580.078	29.69603	0.469018	0.46804	0.465549	0.465835	0.464366	0.461571	0.464827	0.468451	0.468761	0.468549
60	-1557.859	-1578.765	20.90623	0.469018	0.470575	0.469746	0.469076	0.465353	0.4654	0.466576	0.466046	0.46798	0.467999
70	-1516.574	-1579.841	63.26665	0.469018	0.469277	0.469024	0.469223	0.46931	0.469208	0.468565	0.470746	0.47075	0.472589
80	-1531.443	-1579.899	48.45585	0.469018	0.469902	0.467827	0.467925	0.466714	0.469277	0.469128	0.468956	0.449499	0.443102
90	-1506.862	-1579.995	73.1332	0.469018	0.468918	0.468862	0.4687	0.468837	0.468903	0.468956	0.468829	0.467733	0.467642
100	-1530.712	-1577.493	46.78115	0.469018	0.469073	0.469102	0.469186	0.469437	0.468515	0.46852	0.468507	0.468526	0.468408
110	-1526.412	-1578.158	51.74575	0.469018	0.469575	0.469502	0.469668	0.46974	0.470141	0.470142	0.470142	0.470308	0.470897
120	-1533.308	-1578.61	45.30221	0.469018	0.469018	0.469011	0.469083	0.394108	0.394113	0.394146	0.393737	0.393723	0.393791
130	-1592.833	-1578.971	-13.86191	0.469018	0.453615	0.4484	0.449686	0.449267	0.45545	0.456111	0.4607	0.460426	0.459732
140	-1589.824	-1579.882	-9.942274	0.469018	0.444932	0.425414	0.412085	0.405799	0.405873	0.395641	0.370195	0.371853	0.375314
150	-1543.729	-1578.938	35.20937	0.469018	0.469081	0.454686	0.450941	0.449558	0.450629	0.460687	0.461036	0.45907	0.454097
160	-1567.721	-1580.865	13.1439	0.469018	0.468715	0.457104	0.395373	0.395615	0.404202	0.40564	0.256881	0.25712	0.257217
170	-1566.903	-1578.858	11.95438	0.469018	0.469011	0.437717	0.43771	0.44237	0.432975	0.442456	0.443427	0.443411	0.446132
180	-1566.586	-1581.319	14.7333	0.469018	0.475496	0.475148	0.454042	0.453332	0.416366	0.416692	0.419884	0.419661	0.432793
190	-1600.568	-1578.618	-21.9507	0.469018	0.477871	0.445423	0.487648	0.48415	0.401607	0.393765	0.38286	0.340759	0.3488
200	-1583.246	-1579.285	-3.961133	0.469018	0.473907	0.458724	0.45711	0.296461	0.292458	0.341122	0.338985	0.347488	0.378139
210	-1581.164	-1577.035	-4.128269	0.4003	0.442856	0.418328	0.452896	0.452061	0.479254	0.455183	0.460872	0.449509	0.18466
220	-1579.18	-1574.186	-4.99421	0.4003	0.388943	0.405825	0.379937	0.320739	0.314699	0.3271	0.342219	0.358857	0.362782
230	-1562.292	-1574.076	11.78407	0.406605	0.393172	0.378732	0.351354	0.354473	0.357138	0.361583	0.396921	0.398415	0.400088
240	-1555.054	-1573.854	18.79955	0.406605	0.406407	0.406059	0.422656	0.422574	0.42383	0.427181	0.423455	0.462905	0.461513
250	-1559.233	-1573.233	13.9996	0.406605	0.407165	0.410363	0.406407	0.389905	0.377906	0.379141	0.374756	0.375245	0.373412
260	-1573.884	-1573.004	-0.880687	0.406605	0.403808	0.404594	0.379333	0.267712	0.270071	0.250967	0.28657	0.294507	0.369589
270	-1543.009	-1574.478	31.469	0.406605	0.406623	0.406007	0.408504	0.408423	0.409387	0.403065	0.40276	0.404474	0.404963
280	-1543.648	-1574.58	30.93229	0.406605	0.420413	0.409817	0.398454	0.397048	0.400113	0.409468	0.413142	0.413877	0.425513
290	-1537.131	-1573.803	36.67208	0.406605	0.406933	0.403374	0.395143	0.363016	0.362206	0.373758	0.36875	0.368558	0.36908
300	-1544.142	-1575.478	31.33643	0.406605	0.401251	0.387066	0.401909	0.409836	0.409794	0.403147	0.401503	0.421605	0.421634
310	-1544.804	-1574.391	29.58633	0.406605	0.405297	0.40359	0.40015	0.393436	0.393978	0.395942	0.386389	0.390991	0.39181
320	-1560.094	-1577.61	17.51675	0.406605	0.37838	0.379159	0.366748	0.357917	0.35888	0.359786	0.341917	0.343096	0.345247
330	-1534.658	-1575.188	40.52961	0.406605	0.415979	0.413394	0.413677	0.397317	0.392665	0.392063	0.3921	0.389346	0.388503
340	-1579.954	-1573.663	-6.290415	0.357519	0.355308	0.330581	0.328556	0.359401	0.35955	0.280224	0.335409	0.3506	0.359301
350	-1563.189	-1570.856	7.666714	0.361277	0.346413	0.339004	0.307371	0.316463	0.316526	0.304891	0.305187	0.303471	0.29448
360	-1573.288	-1570.344	-2.943766	0.361277	0.362973	0.36666	0.36902	0.369449	0.307102	0.305786	0.335499	0.332457	0.405455
370	-1552.727	-1571.166	18.43972	0.361277	0.361944	0.361978	0.360831	0.36018	0.360647	0.360574	0.360623	0.35959	0.35776
380	-1551.77	-1572.515	20.74506	0.361277	0.358765	0.360135	0.361302	0.361666	0.362472	0.362346	0.361293	0.364857	0.362354
390	-1546.939	-1571.867	24.92764	0.361277	0.362815	0.36685	0.358634	0.364366	0.316259	0.309426	0.304473	0.328406	0.314818
400	-1551.887	-1572.151	20.2649	0.361277	0.331719	0.321672	0.271883	0.228874	0.230906	0.216833	0.198966	0.206393	0.184348
410	-1553.265	-1570.378	17.11237	0.296442	0.301919	0.295819	0.29663	0.245674	0.247439	0.248847	0.248971	0.248794	0.248978
420	-1585.648	-1566.364	-19.28379	0.257709	0.199171	0.187449	0.160308	0.125497	0.124103	0.125477	0.129757	0.104329	0.115266
430	-1563.257	-1573.321	10.06381	0.299856	0.278295	0.278236	0.267438	0.266993	0.284098	0.263088	0.246569	0.199451	0.165184
440	-1550.417	-1569.88	19.4631	0.268649	0.267036	0.266078	0.26324	0.249164	0.249864	0.182167	0.17501	0.176737	0.172019
450	-1557.842	-1567.535	9.693276	0.268649	0.255403	0.24305	0.24497	0.151026	0.147956	0.157158	0.158581	0.159573	0.148766
460	-1584.593	-1567.894	-16.69895	0.217146	0.182465	0.0877693	0.110527	0.108921	0.0712858	0.0723696	0.0735562	0.0834109	0.0469581
470	-1599.711	-1566.168	-33.54259	0.226985	0.172213	0.0952217	0.0860912	0.0564338	0.0357292	0.0286803	0.102147	0.014588	0.0120324
480	-1605.944	-1568.753	-37.19036	0.192522	0.1478	0.0943475	0.0770128	0.10304	0.0717879	0.071705	0.0323207	0.0313001	0.0254944
490	-1592.638	-1567.576	-25.06261	0.198974	0.152379	0.0671106	0.0691547	0.0691524	0.019976	0.0215454	0.0214758	0.0269881	0.0302637
500	-1590.556	-1569.544	-21.01177	0.221206	0.194114	0.093635	0.0909884	0.0901397	0.0907384	0.0976996	0.0637014	0.0502607	0.0439931
510	-1582.343	-1566.674	-15.66829	0.224824	0.135954	0.119593	0.124886	0.047361	0.0476722	0.0448497	0.0510172	0.0511761	0.0525552
520	-1575.757	-1566.307	-9.449936	0.204292	0.189357	0.102914	0.0994729	0.0373227	0.0362165	0.0487729	0.0477197	0.0477087	0.0490913
530	-1607.827	-1567.909	-39.91789	0.204292	0.171041	0.0619172	0.0616881	0.0478801	0.0147008	0.015522	0.0653939	0.0200862	0.0132468
540	-1587.505	-1568.362	-19.14311	0.211555	0.204216	0.152235	0.144009	0.16829	0.120697	0.114514	0.101193	0.121736	0.122719
550	-1597.93	-1567.731	-30.19847	0.242973	0.249003	0.124196	0.133993	0.133797	0.129202	0.102047	0.0923098	0.170597	0.172866
560	-1570.44	-1567.892	-2.547979	0.250204	0.179191	0.180585	0.171737	0.159887	0.171569	0.152756	0.157174	0.15676	0.160622
