Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]
440	-1550.417	-1569.88	19.4631	0.155194	0.155152	0.154838	0.158203	0.157937	0.157661	0.163926	0.163939	0.164084	0.163868
450	-1557.842	-1567.535	9.693276	0.130508	0.130512	0.120205	0.119529	0.119173	0.119121	0.12024	0.119722	0.12167	0.11778
460	-1584.593	-1567.894	-16.69895	0.00782194	0.00782924	0.0073188	0.0076029	0.00744215	0.00747867	0.00745255	0.008402	0.00834338	0.00803871
470	-1599.711	-1566.168	-33.54259	0.00120501	0.00120247	0.00122136	0.00149136	0.00150005	0.00137505	0.00138141	0.00136678	0.00133381	0.00124872
480	-1605.944	-1568.753	-37.19036	0.00028626	0.000343867	0.000346398	0.000354925	0.000396641	0.000357867	0.000396271	8.21093e-06	8.18131e-06	8.42604e-06
490	-1592.638	-1567.576	-25.06261	0.000442258	0.000450752	0.000448825	0.000441534	0.000492519	0.000503071	0.000517059	0.000590986	0.000578947	0.000357259
500	-1590.556	-1569.544	-21.01177	0.000340483	0.000279938	0.000279353	0.000272149	0.00034012	0.000341038	0.000342069	0.000301734	0.000257829	0.00025702
510	-1582.343	-1566.674	-15.66829	0.00229183	0.00225343	0.00225505	0.00232411	0.00232309	0.00225578	0.00224197	0.00225641	0.00216594	0.00206587
520	-1575.757	-1566.307	-9.449936	0.0065118	0.00647632	0.00648553	0.00651407	0.00653851	0.00636925	0.00628803	0.00623298	0.00617041	0.0061789
530	-1607.827	-1567.909	-39.91789	0.000692888	0.000756088	0.000825155	0.000713702	0.000712275	0.000713968	0.0007133	0.000705684	0.000706098	0.000700642
540	-1587.505	-1568.362	-19.14311	0.0709752	0.068595	0.0739611	0.0831609	0.0831561	0.0806845	0.0830198	0.0827126	0.081637	0.0989863
550	-1597.93	-1567.731	-30.19847	0.0665138	0.0805159	0.0726928	0.0724714	0.0725541	0.0732689	0.0762293	0.110996	0.111469	0.118474
560	-1570.44	-1567.892	-2.547979	0.077616	0.083379	0.0812773	0.0813159	0.108447	0.110136	0.102132	0.1012	0.109094	0.119376
570	-1603.358	-1570.127	-33.23112	0.0641506	0.0650696	0.0461664	0.0461075	0.0452019	0.0100996	0.00976919	0.00976706	0.00962517	0.00559973
580	-1588.348	-1566.68	-21.66759	0.139684	0.14558	0.124747	0.15404	0.153393	0.148808	0.135183	0.123598	0.247676	0.145292
590	-1572.984	-1567.193	-5.79163	0.0575568	0.0587063	0.0584873	0.0592837	0.0658228	0.0584966	0.0661506	0.0656171	0.0294611	0.0342392
600	-1603.005	-1568.083	-34.92235	0.0696934	0.0636952	0.0628864	0.0346087	0.0394763	0.116238	0.111376	0.0639939	0.146378	0.148842
610	-1562.743	-1567.318	4.574616	0.0992258	0.0931064	0.0926385	0.0936327	0.0940072	0.0875269	0.0857111	0.0846651	0.0847435	0.0872586
620	-1557.053	-1567.227	10.17353	0.0941493	0.0931156	0.0931688	0.0931696	0.0917116	0.0908536	0.0895263	0.0874129	0.0873107	0.087347
630	-1555.237	-1568.83	13.5935	0.195563	0.200899	0.197726	0.198238	0.253737	0.253516	0.24175	0.241349	0.243755	0.245427
640	-1572.697	-1569.845	-2.85184	0.152729	0.156295	0.155367	0.220862	0.226808	0.233597	0.232154	0.263212	0.263373	0.262866
650	-1562.551	-1567.717	5.166109	0.152729	0.197598	0.199165	0.199002	0.198384	0.166688	0.16806	0.164884	0.168841	0.168855
660	-1589.647	-1571.043	-18.60489	0.0734216	0.0751516	0.0714746	0.0734107	0.0716727	0.0722701	0.0788146	0.0798522	0.0739451	0.0713898
670	-1616.91	-1567.464	-49.4459	0.0920904	0.119461	0.152796	0.193542	0.235942	0.196706	0.0368076	0.0990928	0.0902279	0.158781
680	-1594.059	-1566.779	-27.28033	0.101375	0.0778289	0.077227	0.0790871	0.0913165	0.108536	0.0911917	0.090146	0.091553	0.091349
690	-1590.032	-1569.7	-20.33242	0.0545129	0.0961532	0.105013	0.0982907	0.0941803	0.0965649	0.0865854	0.0879432	0.0852494	0.725715
700	-1585.889	-1569.393	-16.49632	0.133364	0.12835	0.130908	0.125142	0.20181	0.13487	0.163334	0.138031	0.106736	0.115135
710	-1559.809	-1565.625	5.815374	0.0974235	0.161565	0.160744	0.204464	0.302076	0.258929	0.288071	0.228795	0.228478	0.228582
720	-1575.475	-1567.128	-8.346132	0.127882	0.204666	0.209321	0.263124	0.208592	0.554246	0.268043	0.287002	0.29506	0.297011
730	-1584.992	-1569.197	-15.79447	0.151707	0.176257	0.193046	0.187302	0.212564	0.213028	0.221692	0.237901	0.284753	0.227894
740	-1570.103	-1568.258	-1.84473	0.165856	0.164611	0.20272	0.201013	0.202434	0.207395	0.187977	0.154615	0.164124	0.185763
750	-1538.176	-1568.98	30.80412	0.20012	0.198773	0.197387	0.254159	0.258253	0.239379	0.240154	0.239717	0.283655	0.286942
760	-1534.395	-1569.694	35.29941	0.20012	0.19973	0.190748	0.196032	0.375862	0.314962	0.314877	0.322158	0.318558	0.407049
770	-1544.221	-1570.041	25.82047	0.139403	0.174773	0.175353	0.175082	0.174835	0.161842	0.160151	0.177448	0.178545	0.170492
780	-1563.677	-1566.842	3.164913	0.161081	0.205157	0.200382	0.274862	0.279011	0.255243	0.267801	0.256107	0.259411	0.306615
790	-1541.833	-1570.12	28.28742	0.153495	0.184729	0.176448	0.178595	0.177623	0.188242	0.1993	0.189545	0.163741	0.16125
800	-1552.326	-1567.799	15.47258	0.0919465	0.204764	0.199005	0.213719	0.130394	0.132454	0.234945	0.251606	0.095931	0.0960045
810	-1570.272	-1567.859	-2.412923	0.0409162	0.0495149	0.185505	0.209133	0.199604	0.200593	0.188688	0.111217	0.170148	0.37545
820	-1579.658	-1568.627	-11.03167	0.051691	0.198055	0.185096	0.183652	0.127193	0.123002	0.109388	0.140796	0.125742	0.158419
830	-1572.268	-1568.994	-3.274266	0.0335718	0.0390697	0.183912	0.173674	0.169337	0.169051	0.11623	0.109943	0.108145	0.124442
840	-1583.847	-1566.771	-17.07657	0.0210992	0.107597	0.102722	0.0996408	0.104154	0.128348	0.170864	0.174786	0.176712	0.196209
850	-1574.615	-1567.978	-6.636336	0.0212938	0.169368	0.114388	0.168929	0.35786	0.365111	0.2924	0.271427	0.277185	0.179853
860	-1567.509	-1564.926	-2.582266	0.008066	0.137196	0.141061	0.176742	0.182548	0.185363	0.18446	0.184617	0.192747	0.214609
870	-1578.893	-1564.469	-14.42429	0.00208653	0.165682	0.17674	0.176833	0.214152	0.172389	0.143628	0.160261	0.160715	0.170835
880	-1579.9	-1564.857	-15.04286	0.00178354	0.143185	0.153282	0.183724	0.130903	0.369319	0.318022	0.010626	0.0126205	0.00930995
890	-1605.776	-1570.861	-34.91495	0.00146642	0.121476	0.121176	0.143461	0.108927	0.142173	0.0775727	0.00438842	0.0056775	0.0038829
900	-1620.769	-1564.796	-55.97277	0.00315647	0.171673	0.263902	0.262702	0.22262	0.200251	0.0119991	0.0358725	0.0343401	0.0392495
910	-1609.775	-1565.568	-44.20722	0.00144667	0.0909311	0.0908848	0.168136	0.174957	0.178034	0.116162	0.0102426	0.0119493	0.0112327
920	-1584.787	-1565.29	-19.49671	0.00232238	0.143454	0.164998	0.23095	0.245845	0.185803	0.167195	0.0692659	0.0686264	0.0504787
930	-1565.219	-1565.338	0.1190077	0.0026843	0.130057	0.184212	0.185861	0.179376	0.181636	0.143313	0.0955627	0.0912511	0.0913137
940	-1588.125	-1565.536	-22.58957	0.0085529	0.198342	0.157324	0.154726	0.162381	0.109524	0.196598	0.126438	0.140245	0.194801
950	-1601.296	-1567.273	-34.02223	0.00412365	0.152971	0.160514	0.195181	0.158945	0.276575	0.0659387	0.083793	0.0595658	0.0797395
960	-1548.318	-1565.955	17.63665	0.00571382	0.138183	0.121303	0.178648	0.131515	0.135977	0.140652	0.138375	0.14248	0.0415816
970	-1572.234	-1565.106	-7.127977	0.00173303	0.183371	0.179869	0.181483	0.152213	0.227787	0.220523	0.214406	0.210234	0.246985
980	-1578.64	-1565.225	-13.41582	0.0039664	0.190836	0.188797	0.188532	0.18952	0.185424	0.186485	0.243155	0.232201	0.231703
990	-1585.138	-1565.534	-19.60367	0.0065597	0.168303	0.165587	0.165378	0.165763	0.167904	0.167838	0.171342	0.171394	0.167939
1000	-1565.136	-1566.615	1.47889	0.00964022	0.142186	0.140907	0.171705	0.171815	0.174996	0.174969	0.174902	0.174818	0.174304
1010	-1557.006	-1564.564	7.558206	0.0191515	0.158779	0.175995	0.17635	0.179116	0.181777	0.181675	0.181948	0.181653	0.181826
1020	-1586.894	-1572.075	-14.81863	0.030569	0.0307792	0.0310411	0.0310339	0.354774	0.378414	0.378724	0.384088	0.384878	0.384982
1030	-1562.554	-1565.528	2.974126	0.0467677	0.179016	0.179121	0.175233	0.174723	0.176955	0.163888	0.164137	0.166462	0.158031
1040	-1570.185	-1568.911	-1.274075	0.0597466	0.145371	0.142228	0.142208	0.133838	0.134532	0.134433	0.133123	0.134278	0.135426
1050	-1597.012	-1567.688	-29.32447	0.0531343	0.0635486	0.0641372	0.065628	0.0651825	0.0660295	0.0586771	0.0588603	0.0591293	0.0582453
1060	-1596.276	-1569.652	-26.62403	0.0217544	0.0217574	0.0209095	0.0208932	0.0222513	0.0221478	0.0220809	0.0219044	0.0207963	0.0215528
1070	-1572.042	-1567.173	-4.869196	0.0156268	0.0153616	0.0156986	0.0157967	0.0157656	0.0157878	0.0149226	0.014884	0.0144475	0.0147497
1080	-1556.13	-1567.822	11.69237	0.00365981	0.0036533	0.00365499	0.00367176	0.00367373	0.00367317	0.00367348	0.00367297	0.00366297	0.00366238
1090	-1584.763	-1573.961	-10.80239	0.00242564	0.0024339	0.00245029	0.0024523	0.00245462	0.00264819	0.00247861	0.00255194	0.00250913	0.00253118
1100	-1597.064	-1569.849	-27.21421	0.00446785	0.00392424	0.00366535	0.00373082	0.00777424	0.00784286	0.00722696	0.00727257	0.00672558	0.00494296
1110	-1611.008	-1568.56	-42.44795	0.0085321	0.0100846	0.0172819	0.0235089	0.0237158	0.0293002	0.0250477	0.0254561	0.0243158	0.0102674
1120	-1608.566	-1565.289	-43.27674	0.00947711	0.177413	0.109392	0.166584	0.166282	0.0791197	0.0900054	0.0861301	0.0859905	0.0856598
1130	-1577.067	-1565.223	-11.84433	0.00810122	0.19239	0.18309	0.232895	0.232375	0.229606	0.200096	0.15858	0.152032	0.151
1140	-1572.772	-1565.423	-7.348681	0.0067649	0.16899	0.144851	0.145601	0.139702	0.139761	0.155472	0.191593	0.179997	0.187727
1150	-1566.979	-1566.43	-0.5495278	0.00545099	0.138569	0.11823	0.121502	0.117655	0.117638	0.140773	0.1469	0.145754	0.137035
1160	-1598.379	-1566.735	-31.64393	0.00585439	0.136231	0.141082	0.134771	0.129506	0.249337	0.242844	0.241376	0.206711	0.544563
1170	-1572.137	-1566.262	-5.874949	0.00362908	0.203466	0.208389	0.213906	0.200354	0.200369	0.197746	0.197346	0.172567	0.32259
1180	-1551.012	-1565.811	14.79886	0.00477787	0.162217	0.164077	0.164414	0.150618	0.15293	0.15501	0.158727	0.168287	0.185261
1190	-1572.083	-1565.732	-6.35032	0.0208207	0.157916	0.155534	0.156305	0.146928	0.161178	0.178433	0.198415	0.105961	0.105254
1200	-1591.783	-1565.72	-26.06338	0.00842884	0.135827	0.130941	0.114898	0.113021	0.113813	0.115429	0.117342	0.127491	0.128245
1210	-1547.276	-1565.272	17.99614	0.00696015	0.137765	0.138559	0.157689	0.156363	0.156323	0.156684	0.15615	0.159822	0.173659
1220	-1572.513	-1564.698	-7.814895	0.00821679	0.204696	0.205147	0.214357	0.216405	0.21748	0.2172	0.216851	0.209484	0.214809
1230	-1589.577	-1571.237	-18.34057	0.0319368	0.0325239	0.0680456	0.0678796	0.0695369	0.0696002	0.055162	0.0549405	0.0557431	0.054807
1240	-1580.818	-1568.059	-12.75886	0.168519	0.166749	0.167492	0.167888	0.164285	0.15996	0.162752	0.186717	0.186405	0.187718
1250	-1568.466	-1566.054	-2.412403	0.109365	0.112847	0.11307	0.107861	0.108072	0.109017	0.11333	0.111057	0.104815	0.105384
1260	-1566.567	-1569.22	2.65278	0.173578	0.173593	0.173107	0.172799	0.17253	0.173175	0.166901	0.166252	0.161515	0.161515
1270	-1606.693	-1569.338	-37.35512	0.180362	0.179157	0.18383	0.0948869	0.111088	0.112195	0.116799	0.1128	0.10947	0.103663
1280	-1558.075	-1566.13	8.054336	0.104455	0.209991	0.201755	0.201867	0.214496	0.210077	0.211516	0.228218	0.143756	0.143611
1290	-1526.802	-1569.33	42.52824	0.108563	0.141392	0.168249	0.166598	0.171879	0.158008	0.154794	0.211499	0.226982	0.23504
1300	-1537.133	-1565.457	28.32461	0.0826411	0.195017	0.196338	0.206409	0.205195	0.205536	0.205296	0.18646	0.18353	0.191849
1310	-1541.586	-1565.088	23.50108	0.0445767	0.20234	0.201933	0.198994	0.195479	0.205936	0.211848	0.212775	0.228753	0.228466
1320	-1556.64	-1565.396	8.756656	0.0145228	0.18737	0.169322	0.167009	0.186966	0.188554	0.191905	0.159349	0.162429	0.161061
1330	-1573.261	-1566.628	-6.633232	0.0170726	0.132016	0.179636	0.177567	0.167414	0.165672	0.160632	0.169667	0.00159592	0.00154336
1340	-1564.439	-1566.739	2.300045	0.0549388	0.0735997	0.171422	0.180268	0.182092	0.208482	0.213912	0.12197	0.106962	0.0936425
