Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]
0	-2000.836	-2094.072	93.23534	0.367879	0.367776	0.367773	0.367661	0.367705	0.367806	0.367703	0.367671	0.367668	0.367722
10	-1566.175	-1599.435	33.25975	0.781395	0.781044	0.779748	0.789164	0.789087	0.789618	0.796298	0.79602	0.775359	0.775279
20	-1606.405	-1602.403	-4.001951	0.781395	0.747133	0.752301	0.823001	0.86279	0.869142	0.871425	0.871063	0.876581	0.858566
30	-1598.696	-1600.125	1.428996	0.781395	0.786852	0.935932	0.924772	0.906443	0.923811	0.895801	0.813284	0.814261	0.813075
40	-1584.337	-1597.891	13.55457	0.781395	0.769587	0.932585	0.930231	0.933508	0.942626	0.876006	0.8776	0.904416	0.904826
50	-1600.579	-1598.837	-1.741507	0.781395	0.759192	1.00034	0.998219	0.963244	0.877619	0.882036	0.797628	0.788555	0.609047
60	-1611.709	-1601.012	-10.69687	0.781395	0.703433	0.623506	0.858626	0.851053	0.833517	0.847989	0.758235	0.73572	0.591937
70	-1589.042	-1602.297	13.25468	0.781395	0.775775	0.775767	0.777043	0.78526	0.821107	0.838663	0.841204	0.842255	0.84233
80	-1588.517	-1597.814	9.297208	0.781395	0.804646	0.810114	0.830021	0.851675	0.950786	0.915907	0.842191	0.80375	0.790403
90	-1582.955	-1597.891	14.93576	0.781395	0.780879	0.793923	0.821613	0.811748	0.815554	0.723676	0.750386	0.741951	0.745414
100	-1568.461	-1599.325	30.86392	0.781395	0.781322	0.781088	0.781765	0.782428	0.780762	0.783704	0.783845	0.782308	0.784802
110	-1584.334	-1597.888	13.55407	0.781395	0.781023	0.780187	0.779908	0.77964	0.789085	0.789099	0.789183	0.789912	0.790355
120	-1588.347	-1598.643	10.29607	0.781395	0.773426	0.772507	0.780175	0.785377	0.790201	0.783505	0.773738	0.777817	0.782379
130	-1606.859	-1600.185	-6.674065	0.781395	0.791442	0.768418	0.770991	0.772976	0.774232	0.734426	0.742823	0.744046	0.74958
140	-1596.912	-1601.323	4.4107	0.781395	0.757095	0.747509	0.722572	0.720704	0.727666	0.726001	0.725883	0.696247	0.697996
150	-1602.676	-1598.297	-4.378258	0.781395	0.78032	0.775021	0.730823	0.728221	0.730231	0.730423	0.730282	0.723647	0.714394
160	-1612.249	-1596.45	-15.79854	0.781395	0.774743	0.714905	0.817628	0.820165	0.816885	0.802331	0.796629	0.822974	0.813113
170	-1575.457	-1596.894	21.43685	0.781395	0.781402	0.789768	0.791539	0.78918	0.789619	0.789694	0.789655	0.79078	0.790542
180	-1597.993	-1598.717	0.7240086	0.781395	0.767256	0.767416	0.765115	0.765128	0.765732	0.929917	0.92813	0.934256	1.006
190	-1602.609	-1600.153	-2.455756	0.781395	0.793323	0.777455	0.748239	0.749284	0.731627	0.69354	0.873374	0.906371	0.915265
200	-1597.217	-1599.66	2.442778	0.781395	0.781299	0.786026	0.782898	0.792889	0.824892	0.795993	0.818585	0.70665	0.707741
210	-1577.485	-1597.92	20.4343	0.781395	0.788061	0.78764	0.789485	0.793471	0.794664	0.800633	0.801566	0.792942	0.788499
220	-1581.882	-1598.109	16.22739	0.781395	0.778526	0.782828	0.777983	0.778455	0.777823	0.778896	0.778992	0.744673	0.745702
230	-1609.34	-1598.39	-10.94972	0.781395	0.779614	0.794081	0.805809	0.809946	0.802792	0.835828	0.846529	0.84737	0.847123
240	-1593.044	-1598.871	5.827091	0.781395	0.787219	0.79101	0.793741	0.804203	0.782748	0.798893	0.773451	0.773008	0.771136
250	-1599.689	-1598.153	-1.536187	0.781395	0.781692	0.774378	0.771415	0.765342	0.773865	0.773596	0.769924	0.777396	0.779429
260	-1599.039	-1601.226	2.186955	0.781395	0.634548	0.631747	0.630837	0.60694	0.611272	0.659682	0.629991	0.631387	0.631551
270	-1584.028	-1596.292	12.26451	0.737145	0.598319	0.616994	0.615978	0.610954	0.611186	0.634235	0.634958	0.646071	0.6416
280	-1582.332	-1594.885	12.55342	0.712086	0.694283	0.685055	0.684412	0.714577	0.716027	0.708339	0.709092	0.705834	0.704972
290	-1585.517	-1595.091	9.573869	0.712086	0.692156	0.693858	0.695176	0.689002	0.703374	0.700718	0.702203	0.6888	0.688608
