Iteration	Posterior	Likelihood	Prior	delta_log_extinction[1]	delta_log_extinction[2]	delta_log_extinction[3]	delta_log_extinction[4]	delta_log_extinction[5]	delta_log_extinction[6]	delta_log_extinction[7]	delta_log_extinction[8]	delta_log_extinction[9]	delta_log_speciation[1]	delta_log_speciation[2]	delta_log_speciation[3]	delta_log_speciation[4]	delta_log_speciation[5]	delta_log_speciation[6]	delta_log_speciation[7]	delta_log_speciation[8]	delta_log_speciation[9]	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction_global_scale	log_extinction_at_present	log_speciation_at_present	sigma_extinction[1]	sigma_extinction[2]	sigma_extinction[3]	sigma_extinction[4]	sigma_extinction[5]	sigma_extinction[6]	sigma_extinction[7]	sigma_extinction[8]	sigma_extinction[9]	sigma_speciation[1]	sigma_speciation[2]	sigma_speciation[3]	sigma_speciation[4]	sigma_speciation[5]	sigma_speciation[6]	sigma_speciation[7]	sigma_speciation[8]	sigma_speciation[9]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation_global_scale
100	-1568.461	-1599.325	30.86392	-9.314e-05	-0.000298989	0.000865707	0.000847584	-0.00213155	0.00376202	0.000178725	-0.00196173	0.00318289	0.277401	0.00750723	-0.026159	-0.036054	0.00341823	0.00192618	-0.0229711	0.029792	0.0446597	0.781395	0.781322	0.781088	0.781765	0.782428	0.780762	0.783704	0.783845	0.782308	0.784802	0.04656781	-0.246675	-0.4059827	0.213956	0.323413	3.51462	0.447735	0.765862	8.89819	0.283311	0.69539	1.04765	5.38797	1.05555	0.861511	1.53078	1.0736	0.0446775	0.554884	1.08654	1.09119	0.666322	0.879342	0.885968	0.863093	0.832529	0.83538	0.83699	0.817983	0.842719	0.881207	0.5469916
110	-1584.334	-1597.888	13.55407	-0.000475669	-0.00107052	-0.000358154	-0.000343641	0.012042	1.79525e-05	0.00010576	0.000923624	0.000560205	0.394641	-0.223101	-0.0115776	-0.0319115	-0.0143591	0.184391	0.00199349	0.0136633	0.160961	0.781395	0.781023	0.780187	0.779908	0.77964	0.789085	0.789099	0.789183	0.789912	0.790355	0.07816095	-0.246675	-0.4059827	4.13631	2.52964	0.405669	1.16234	7.60776	1.26026	0.228171	0.549209	0.644329	4.28662	4.01187	0.974932	0.767573	0.333417	1.16007	0.0395522	0.806245	0.861257	0.666322	0.988723	0.791012	0.781907	0.757349	0.746552	0.897718	0.89951	0.911884	1.07113	2.704288
120	-1588.347	-1598.643	10.29607	-0.0102499	-0.00118911	0.00987735	0.00664502	0.0061237	-0.00851034	-0.0125437	0.00525784	0.00584776	0.403117	-0.242859	-0.024705	-0.00571792	-0.0140475	0.242692	-0.0541341	0.0221708	-0.126243	0.781395	0.773426	0.772507	0.780175	0.785377	0.790201	0.783505	0.773738	0.777817	0.782379	0.2108626	-0.246675	-0.4059827	0.817049	0.246319	0.694039	1.18644	0.797821	0.86657	1.32576	0.990728	0.774404	4.55954	1.66657	0.343159	0.62993	0.40874	3.81759	0.518439	0.438187	1.42853	0.666322	0.997138	0.782138	0.763052	0.758701	0.748118	0.953608	0.903358	0.92361	0.81407	2.138434
130	-1606.859	-1600.185	-6.674065	0.0127757	-0.0295224	0.00334294	0.0025712	0.00162338	-0.0527813	0.011368	0.00164513	0.00741027	0.330549	-0.182079	-0.0072261	-0.00362059	-0.0344943	-0.024822	-0.00807412	-0.136759	0.305644	0.781395	0.791442	0.768418	0.770991	0.772976	0.774232	0.734426	0.742823	0.744046	0.74958	0.1628599	-0.246675	-0.4059827	1.5196	7.0332	0.641448	0.180161	0.17997	7.76182	1.37387	0.826977	0.656774	3.40469	2.8435	1.17206	0.13781	0.557602	2.0624	4.17443	2.31646	3.3902	0.666322	0.927341	0.772972	0.767406	0.764633	0.738707	0.720596	0.714802	0.623436	0.846314	2.241321
140	-1596.912	-1601.323	4.4107	-0.0315916	-0.0127422	-0.0339296	-0.00258772	0.00961234	-0.00229021	-0.000162305	-0.041685	0.00250988	0.296743	-0.129882	0.0307771	-0.00263601	0.0598504	-0.0346931	-0.0837859	-0.270747	-0.116107	0.781395	0.757095	0.747509	0.722572	0.720704	0.727666	0.726001	0.725883	0.696247	0.697996	0.278243	-0.246675	-0.4059827	1.4607	2.49466	2.32592	0.33566	0.84122	0.930272	0.727063	2.24418	0.488286	1.95966	0.779665	0.100964	0.0709833	0.243662	0.687229	0.52872	0.872581	0.513893	0.666322	0.896516	0.787319	0.811927	0.80979	0.859736	0.83042	0.763678	0.58254	0.518682	3.244294
150	-1602.676	-1598.297	-4.378258	-0.00137583	-0.00681459	-0.0587188	-0.00356654	0.00275662	0.000262725	-0.000192721	-0.00912703	-0.0128698	0.332533	-0.0598367	-0.234796	0.0123396	0.00142613	0.136024	0.0956895	0.0264964	-0.343137	0.781395	0.78032	0.775021	0.730823	0.728221	0.730231	0.730423	0.730282	0.723647	0.714394	0.1435895	-0.246675	-0.4059827	0.685298	1.24668	5.16383	0.439835	2.35282	0.389525	0.357291	0.883731	2.98618	9.96817	1.3222	2.91931	1.73298	0.144039	2.53789	2.88423	0.394614	19.5336	0.666322	0.929183	0.875215	0.69206	0.700653	0.701653	0.80389	0.884615	0.908367	0.644524	0.8384625
160	-1612.249	-1596.45	-15.79854	-0.00854955	-0.0803807	0.134257	0.0030981	-0.00400699	-0.0179778	-0.00713152	0.0325353	-0.0120538	0.31379	-0.12926	-0.013665	-0.000164381	-0.0463076	0.00845047	0.315428	-0.196239	0.0747214	0.781395	0.774743	0.714905	0.817628	0.820165	0.816885	0.802331	0.796629	0.822974	0.813113	1.863719	-0.246675	-0.4059827	0.184326	0.639198	1.92166	0.126099	0.0895206	0.160155	1.24816	2.89921	0.240339	3.45568	8.49747	0.228542	0.912814	2.22012	1.0863	16.5962	5.12889	1.9429	0.666322	0.911929	0.801354	0.790478	0.790348	0.754583	0.760987	1.0432	0.857314	0.923828	0.9136829
170	-1575.457	-1596.894	21.43685	9.70579e-06	0.0106497	0.00223958	-0.00298523	0.000556541	9.51221e-05	-4.90828e-05	0.00142323	-0.000301078	0.409186	-0.227933	0.0277832	0.000276612	-0.0171337	0.0136413	0.0405401	-0.00317218	-0.00289566	0.781395	0.781402	0.789768	0.791539	0.78918	0.789619	0.789694	0.789655	0.79078	0.790542	0.03135862	-0.246675	-0.4059827	0.0171178	3.33188	9.94779	1.61586	1.68041	0.0543145	0.0405968	1.33274	0.335968	3.86875	5.71632	4.38861	0.0350357	1.86677	3.62191	10.2199	0.293391	0.182843	0.666322	1.00321	0.798732	0.821235	0.821462	0.807507	0.818598	0.852466	0.849766	0.847309	0.845384
180	-1597.993	-1598.717	0.7240086	-0.0182597	0.000208305	-0.00300225	1.59888e-05	0.000790038	0.194262	-0.00192361	0.00657932	0.0739853	0.282581	0.039166	-0.178178	-0.0777437	-0.000141059	0.383248	-0.0880993	0.0203902	-0.0214353	0.781395	0.767256	0.767416	0.765115	0.765128	0.765732	0.929917	0.92813	0.934256	1.006	0.3214367	-0.246675	-0.4059827	3.08458	0.626476	0.710098	0.00688357	0.101055	19.6156	0.11371	2.88428	29.7345	1.88225	0.235267	1.00806	1.33573	0.00741994	3.92215	0.967542	0.359216	0.534147	0.666322	0.883908	0.919214	0.769193	0.711658	0.711558	1.04389	0.955854	0.975544	0.954856	2.793916
190	-1602.609	-1600.153	-2.455756	0.0151497	-0.0202039	-0.038304	0.00139544	-0.0238472	-0.053461	0.230554	0.0370851	0.00976517	0.333425	0.0146639	-0.15627	-0.0224991	-0.0115902	0.00472592	0.0363166	-0.00428109	0.00551762	0.781395	0.793323	0.777455	0.748239	0.749284	0.731627	0.69354	0.873374	0.906371	0.915265	0.8362399	-0.246675	-0.4059827	0.237754	0.677736	2.08628	0.0336703	1.402	0.785151	5.05105	0.325409	0.562713	11.6069	0.567383	4.49904	0.970361	0.365232	1.0466	1.5753	0.691102	1.60751	0.666322	0.930013	0.943751	0.807216	0.789258	0.780163	0.783859	0.812849	0.809376	0.813855	0.6770958
200	-1597.217	-1599.66	2.442778	-0.000122935	0.00603282	-0.00398803	0.0126808	0.0395694	-0.0356619	0.0279869	-0.147042	0.00154197	0.278006	-0.000198084	0.00553114	-0.391979	0.315918	0.00711121	-0.00630815	-0.01024	-0.0753585	0.781395	0.781299	0.786026	0.782898	0.792889	0.824892	0.795993	0.818585	0.70665	0.707741	1.090655	-0.246675	-0.4059827	0.00991731	0.40912	0.276463	0.495855	0.668487	0.729531	1.23133	3.08269	0.16412	11.082	0.0139199	0.158272	3.11107	61.7149	0.151129	0.0751558	0.226343	2.98465	0.666322	0.879874	0.8797	0.884579	0.597726	0.819792	0.825642	0.82045	0.812092	0.753143	1.434182
210	-1577.485	-1597.92	20.4343	0.00849488	-0.000534419	0.00234025	0.00503658	0.00150215	0.00748313	0.00116452	-0.0108178	-0.00561807	0.313916	-0.00315843	0.000320039	-0.211984	0.134265	-0.0123588	0.0217136	-0.00314943	-0.0127758	0.781395	0.788061	0.78764	0.789485	0.793471	0.794664	0.800633	0.801566	0.792942	0.788499	0.1389418	-0.246675	-0.4059827	0.706979	0.42313	0.875384	1.18706	1.08472	0.577979	0.497199	1.53184	0.919806	1.33978	0.0309508	0.0212309	2.37674	0.943853	0.932021	0.261628	0.0436025	4.2138	0.666322	0.912044	0.909168	0.909459	0.735732	0.841453	0.831118	0.849362	0.846691	0.835943	1.800136
220	-1581.882	-1598.109	16.22739	-0.0036781	0.00551119	-0.00620867	0.000607018	-0.000813221	0.00137912	0.000122483	-0.0450551	0.00138103	0.314999	-0.000948043	-0.00623475	-0.126252	-0.132561	0.0532686	0.129227	0.0340143	0.0180939	0.781395	0.778526	0.782828	0.777983	0.778455	0.777823	0.778896	0.778992	0.744673	0.745702	0.1533894	-0.246675	-0.4059827	1.37949	0.889726	0.828191	0.321958	0.642077	0.823264	0.0661943	3.31087	0.740193	3.58487	0.006641	0.47568	3.78823	1.18578	2.58645	1.02641	0.828923	0.519944	0.666322	0.913033	0.912168	0.906498	0.798981	0.699787	0.738075	0.839891	0.868951	0.884817	2.325648
230	-1609.34	-1598.39	-10.94972	-0.00228102	0.0183867	0.0146611	0.00512039	-0.00887153	0.0403273	0.0127215	0.000993056	-0.000291904	0.325866	-0.0216747	-0.0798104	-0.047885	-0.0828937	0.0675925	0.266066	-0.0267831	0.288931	0.781395	0.779614	0.794081	0.805809	0.809946	0.802792	0.835828	0.846529	0.84737	0.847123	0.1524907	-0.246675	-0.4059827	0.41917	13.1813	1.22199	1.07876	2.06495	18.705	2.41858	0.237545	0.236907	3.02847	1.77414	0.897655	1.3289	1.02721	0.968285	6.30909	0.998513	5.72779	0.666322	0.923009	0.903218	0.833933	0.794941	0.731703	0.78287	1.02151	0.99451	1.32767	1.198945
240	-1593.044	-1598.871	5.827091	0.0074259	0.00480425	0.00344702	0.0130946	-0.0270411	0.0204161	-0.0323648	-0.000572438	-0.00242463	0.301384	-0.0352818	0.0335577	-0.0490328	0.00563635	-0.0613592	-0.0369272	0.00364985	1.97001e-05	0.781395	0.787219	0.79101	0.793741	0.804203	0.782748	0.798893	0.773451	0.773008	0.771136	0.3315461	-0.246675	-0.4059827	0.377559	0.724776	0.198862	6.92278	5.36465	1.32714	0.846137	0.0432418	1.80855	1.2945	0.360153	0.549287	0.255188	0.288523	0.755603	1.22601	0.0803638	1.40875	0.666322	0.900686	0.869462	0.899135	0.856111	0.86095	0.809711	0.780356	0.783209	0.783224	1.87947
250	-1599.689	-1598.153	-1.536187	0.000380762	-0.00940099	-0.00383353	-0.0079041	0.0110744	-0.000347265	-0.00475755	0.00965782	0.0026111	0.34595	-0.00658185	-0.203254	-0.0134553	-0.0328985	0.10527	-0.00898531	-0.0793825	0.0512716	0.781395	0.781692	0.774378	0.771415	0.765342	0.773865	0.773596	0.769924	0.777396	0.779429	0.1888155	-0.246675	-0.4059827	0.308089	56.6963	0.217766	0.449068	1.17274	0.0379442	1.97655	1.19498	5.54151	1.48168	0.0629642	1.0062	0.350092	0.550195	0.299235	1.12751	1.51062	0.322415	0.666322	0.941734	0.935556	0.76348	0.753276	0.728898	0.809814	0.80257	0.741323	0.780323	5.543195
260	-1599.039	-1601.226	2.186955	-0.208168	-0.0044242	-0.00144029	-0.0386175	0.00711203	0.0762157	-0.0460528	0.00221311	0.000259683	0.115976	-0.0536233	-0.000146489	-0.018047	-0.148464	0.141299	0.0704104	-0.00644606	-0.00981524	0.781395	0.634548	0.631747	0.630837	0.60694	0.611272	0.659682	0.629991	0.631387	0.631551	1.183086	-0.246675	-0.4059827	4.00329	0.935062	0.592895	0.55893	0.768421	1.52568	2.00864	0.0525705	0.282113	1.95409	0.465455	0.242428	0.388593	0.76333	4.36995	0.475719	0.13544	0.242286	0.666322	0.748259	0.709191	0.709087	0.696405	0.600323	0.691434	0.741873	0.737106	0.729906	2.027786
270	-1584.028	-1596.292	12.26451	-0.208661	0.030735	-0.00164743	-0.00819007	0.000379659	0.0370175	0.00113922	0.0173505	-0.00694438	0.113077	-0.0211127	-0.0915767	-0.00741659	-0.0225083	0.0693878	-0.00977445	-0.0177393	-0.0261226	0.737145	0.598319	0.616994	0.615978	0.610954	0.611186	0.634235	0.634958	0.646071	0.6416	0.5838236	-0.3049701	-0.4059827	4.03392	0.564319	0.172671	0.602674	0.0338557	0.67014	0.157594	1.02174	0.186648	3.43697	0.413209	2.59301	0.467306	0.609662	1.09323	0.525826	0.628195	2.44732	0.666322	0.746093	0.730506	0.66658	0.661655	0.646928	0.693411	0.686667	0.674593	0.657199	1.141087
280	-1582.332	-1594.885	12.55342	-0.0253185	-0.0133805	-0.000939113	0.0431304	0.00202651	-0.0107947	0.00106301	-0.00460616	-0.00122099	0.14248	-0.00690464	-0.0467338	-0.0272914	-0.016351	-0.00527946	-0.00647963	0.0512707	-0.00327302	0.712086	0.694283	0.685055	0.684412	0.714577	0.716027	0.708339	0.709092	0.705834	0.704972	0.8695033	-0.3395568	-0.4059827	0.91009	1.08485	1.05283	2.53213	0.263698	2.08512	0.0546996	1.76728	0.553836	2.61601	0.162215	0.877141	0.262702	0.359413	0.0922388	0.394182	0.838728	0.446124	0.666322	0.768355	0.763068	0.728228	0.708622	0.69713	0.693459	0.68898	0.725226	0.722856	2.434316
290	-1585.517	-1595.091	9.573869	-0.0283871	0.00245662	0.00189645	-0.0089201	0.0206443	-0.00378298	0.00211749	-0.0192725	-0.000278569	0.144926	-0.0413343	-0.0228842	-0.0100235	-1.53375e-06	0.00132702	0.00883174	-0.143263	-0.000738705	0.712086	0.692156	0.693858	0.695176	0.689002	0.703374	0.700718	0.702203	0.6888	0.688608	0.2084261	-0.3395568	-0.4059827	4.65376	0.291634	2.07145	1.11218	4.93538	0.731946	1.45825	13.0023	0.27922	2.50844	0.767284	0.7886	0.126836	0.0181834	0.124936	1.80209	2.40242	1.57639	0.666322	0.770237	0.739049	0.722328	0.715124	0.715123	0.716073	0.722425	0.626	0.625538	1.385659
300	-1571.401	-1593.45	22.04922	-0.000918546	0.00333748	0.00721609	-0.0029862	0.0300515	-0.015743	-0.0048028	0.00186887	0.0010133	0.220627	-0.0415629	-6.41884e-06	-0.0396368	-0.000317503	-5.16152e-05	-0.0019202	0.00198808	0.00276154	0.712086	0.711432	0.71381	0.71898	0.716836	0.738705	0.727167	0.723683	0.725036	0.725771	0.1701991	-0.3395568	-0.4059827	0.314936	0.558527	0.753372	0.741421	4.24693	2.11027	1.68373	0.740829	2.91484	56.7356	16.2979	1.09376	7.39191	0.234902	0.0378306	0.783452	0.730087	0.909946	0.666322	0.830809	0.796986	0.796981	0.766009	0.765765	0.765726	0.764257	0.765778	0.767896	0.1030153
310	-1561.702	-1592.901	31.19929	0.00549708	0.106392	0.00256795	-0.00143292	-0.0189851	0.00835829	-0.00182756	-0.00207998	0.0203408	0.200725	0.00247848	0.00071397	-0.000436641	-0.000901719	-0.00178047	0.00128233	0.00191907	-0.00141633	0.694393	0.698221	0.776602	0.778599	0.777484	0.762862	0.769265	0.767861	0.766265	0.782011	0.3628972	-0.364717	-0.4059827	3.17864	2.61115	0.276298	0.108827	0.715044	0.277719	0.421679	0.35685	0.791557	51.141	1.1322	0.410779	0.862033	0.676588	0.846837	0.793602	0.293294	0.787827	0.666322	0.814437	0.816458	0.817041	0.816685	0.815949	0.814497	0.815542	0.817109	0.815952	0.1000608
320	-1585.1	-1594.016	8.915822	0.0945707	-0.0067578	-0.0537545	0.00482946	0.048627	0.0219581	3.29531e-05	-0.0371183	-0.042746	0.154126	-2.08879e-06	-0.0121654	0.00919138	0.00584327	-0.0132304	-0.0213763	0.00269334	0.0167612	0.666972	0.733126	0.728189	0.690079	0.69342	0.727972	0.744133	0.744158	0.717042	0.687038	0.6811637	-0.4050079	-0.4059827	9.30707	0.249833	11.9442	0.497349	0.816472	0.398889	0.00549663	1.071	1.26293	9.28582	0.000496753	0.243832	0.98045	0.141244	0.905519	7.92986	0.622124	0.304159	0.666322	0.777356	0.777354	0.767955	0.775046	0.779588	0.769341	0.75307	0.755101	0.767864	0.4658996
330	-1596.102	-1597.871	1.769937	-0.00101285	-0.0367984	0.00333491	0.00700803	0.0129886	-0.0309956	0.00094868	-0.0123711	-0.0387124	0.000660773	0.0364195	0.0227231	-0.02823	0.00737309	0.00484606	-6.71407e-05	0.0899355	-0.00464668	0.666972	0.666296	0.642223	0.644369	0.6489	0.657384	0.63732	0.637925	0.630082	0.606156	0.6260314	-0.4050079	-0.4059827	8.36906	2.14499	0.459169	3.33763	1.36422	2.65452	0.0736663	5.68697	2.89016	0.853583	2.20527	0.966532	2.43089	0.671189	1.05116	0.0222634	14.6414	0.60854	0.666322	0.666762	0.691493	0.707386	0.687695	0.692784	0.69615	0.696103	0.761609	0.758078	0.2748508
