Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	n_events	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]
540	-4951.767	-4846.447	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	61.8537	82.9362	28.6026	42.9549	15.0832	11.0502	26.8548	55.7265	63.9796	7	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284	75.1059
550	-4951.767	-4846.447	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	61.8537	82.9362	28.6026	42.9549	15.0832	11.0502	26.8548	55.7265	63.9796	7	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284	75.1059
560	-4951.767	-4846.447	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	61.8537	82.9362	28.6026	42.9549	15.0832	11.0502	26.8548	55.7265	63.9796	7	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284	75.1059
570	-4939.614	-4834.293	-105.3204	71.0166	58.4601	13.6261	13.8862	14.0782	15.1903	61.8537	82.9362	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.9796	7	74.5727	13.5673	4.31449	15.0746	34.2283	75.6142	86.6284	72.707
580	-4939.614	-4834.293	-105.3204	71.0166	58.4601	13.6261	13.8862	14.0782	15.1903	61.8537	82.9362	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.9796	7	74.5727	13.5673	4.31449	15.0746	34.2283	75.6142	86.6284	72.707
590	-4939.614	-4834.293	-105.3204	71.0166	58.4601	13.6261	13.8862	14.0782	15.1903	61.8537	82.9362	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.9796	7	74.5727	13.5673	4.31449	15.0746	34.2283	75.6142	86.6284	72.707
600	-4939.614	-4834.293	-105.3204	71.0166	58.4601	13.6261	13.8862	14.0782	15.1903	61.8537	82.9362	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.9796	7	74.5727	13.5673	4.31449	15.0746	34.2283	75.6142	86.6284	72.707
610	-4939.614	-4834.293	-105.3204	71.0166	58.4601	13.6261	13.8862	14.0782	15.1903	61.8537	82.9362	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.9796	7	74.5727	13.5673	4.31449	15.0746	34.2283	75.6142	86.6284	72.707
620	-4939.614	-4834.293	-105.3204	71.0166	58.4601	13.6261	13.8862	14.0782	15.1903	61.8537	82.9362	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.9796	7	74.5727	13.5673	4.31449	15.0746	34.2283	75.6142	86.6284	72.707
630	-4939.614	-4834.293	-105.3204	71.0166	58.4601	13.6261	13.8862	14.0782	15.1903	61.8537	82.9362	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.9796	7	74.5727	13.5673	4.31449	15.0746	34.2283	75.6142	86.6284	72.707
640	-4939.614	-4834.293	-105.3204	71.0166	58.4601	13.6261	13.8862	14.0782	15.1903	61.8537	82.9362	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.9796	7	74.5727	13.5673	4.31449	15.0746	34.2283	75.6142	86.6284	72.707
650	-4939.614	-4834.293	-105.3204	71.0166	58.4601	13.6261	13.8862	14.0782	15.1903	61.8537	82.9362	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.9796	7	74.5727	13.5673	4.31449	15.0746	34.2283	75.6142	86.6284	72.707
660	-4939.614	-4834.293	-105.3204	71.0166	58.4601	13.6261	13.8862	14.0782	15.1903	61.8537	82.9362	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.9796	7	74.5727	13.5673	4.31449	15.0746	34.2283	75.6142	86.6284	72.707
