Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]
520	-4950.401	-4845.081	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	61.8537	82.9362
530	-4951.767	-4846.447	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	61.8537	82.9362
540	-4951.767	-4846.447	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	61.8537	82.9362
550	-4951.767	-4846.447	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	61.8537	82.9362
560	-4951.767	-4846.447	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	61.8537	82.9362
570	-4939.614	-4834.293	-105.3204	71.0166	58.4601	13.6261	13.8862	14.0782	15.1903	61.8537	82.9362
580	-4939.614	-4834.293	-105.3204	71.0166	58.4601	13.6261	13.8862	14.0782	15.1903	61.8537	82.9362
590	-4939.614	-4834.293	-105.3204	71.0166	58.4601	13.6261	13.8862	14.0782	15.1903	61.8537	82.9362
600	-4939.614	-4834.293	-105.3204	71.0166	58.4601	13.6261	13.8862	14.0782	15.1903	61.8537	82.9362
610	-4939.614	-4834.293	-105.3204	71.0166	58.4601	13.6261	13.8862	14.0782	15.1903	61.8537	82.9362
620	-4939.614	-4834.293	-105.3204	71.0166	58.4601	13.6261	13.8862	14.0782	15.1903	61.8537	82.9362
630	-4939.614	-4834.293	-105.3204	71.0166	58.4601	13.6261	13.8862	14.0782	15.1903	61.8537	82.9362
640	-4939.614	-4834.293	-105.3204	71.0166	58.4601	13.6261	13.8862	14.0782	15.1903	61.8537	82.9362
650	-4939.614	-4834.293	-105.3204	71.0166	58.4601	13.6261	13.8862	14.0782	15.1903	61.8537	82.9362
660	-4939.614	-4834.293	-105.3204	71.0166	58.4601	13.6261	13.8862	14.0782	15.1903	61.8537	82.9362
670	-4939.614	-4834.293	-105.3204	71.0166	58.4601	13.6261	13.8862	14.0782	15.1903	61.8537	82.9362
680	-4939.614	-4834.293	-105.3204	71.0166	58.4601	13.6261	13.8862	14.0782	15.1903	61.8537	82.9362
690	-4939.614	-4834.293	-105.3204	71.0166	58.4601	13.6261	13.8862	14.0782	15.1903	61.8537	82.9362
700	-4939.614	-4834.293	-105.3204	71.0166	58.4601	13.6261	13.8862	14.0782	15.1903	61.8537	82.9362
710	-4939.614	-4834.293	-105.3204	71.0166	58.4601	13.6261	13.8862	14.0782	15.1903	61.8537	82.9362
720	-4939.614	-4834.293	-105.3204	71.0166	58.4601	13.6261	13.8862	14.0782	15.1903	61.8537	82.9362
730	-4939.614	-4834.293	-105.3204	71.0166	58.4601	13.6261	13.8862	14.0782	15.1903	61.8537	82.9362
740	-4939.614	-4834.293	-105.3204	71.0166	58.4601	13.6261	13.8862	14.0782	15.1903	61.8537	82.9362
750	-4940.09	-4834.77	-105.3204	71.0166	58.4601	13.545	13.8862	14.0782	15.1903	61.8537	82.9362
760	-4940.09	-4834.77	-105.3204	71.0166	58.4601	13.545	13.8862	14.0782	15.1903	61.8537	82.9362
770	-4939.051	-4833.731	-105.3204	71.0166	58.4601	13.545	13.8862	14.0782	15.1903	61.8537	82.9362
780	-4939.051	-4833.731	-105.3204	71.0166	58.4601	13.545	13.8862	14.0782	15.1903	61.8537	82.9362
790	-4892.115	-4786.795	-105.3204	71.0166	58.4601	13.545	13.8862	14.0782	15.1903	58.5937	82.9362
800	-4892.115	-4786.795	-105.3204	71.0166	58.4601	13.545	13.8862	14.0782	15.1903	58.5937	82.9362
810	-4892.115	-4786.795	-105.3204	71.0166	58.4601	13.545	13.8862	14.0782	15.1903	58.5937	82.9362
820	-4892.115	-4786.795	-105.3204	71.0166	58.4601	13.545	13.8862	14.0782	15.1903	58.5937	82.9362
830	-4892.115	-4786.795	-105.3204	71.0166	58.4601	13.545	13.8862	14.0782	15.1903	58.5937	82.9362
840	-4892.115	-4786.795	-105.3204	71.0166	58.4601	13.545	13.8862	14.0782	15.1903	58.5937	82.9362
850	-4892.115	-4786.795	-105.3204	71.0166	58.4601	13.545	13.8862	14.0782	15.1903	58.5937	82.9362
860	-4892.115	-4786.795	-105.3204	71.0166	58.4601	13.545	13.8862	14.0782	15.1903	58.5937	82.9362
870	-4892.115	-4786.795	-105.3204	71.0166	58.4601	13.545	13.8862	14.0782	15.1903	58.5937	82.9362
880	-4892.115	-4786.795	-105.3204	71.0166	58.4601	13.545	13.8862	14.0782	15.1903	58.5937	82.9362
890	-4892.115	-4786.795	-105.3204	71.0166	58.4601	13.545	13.8862	14.0782	15.1903	58.5937	82.9362
900	-4890.825	-4785.505	-105.3204	71.0166	58.4601	13.545	13.8862	14.0782	15.1903	58.5937	82.9362
910	-4890.825	-4785.505	-105.3204	71.0166	58.4601	13.545	13.8862	14.0782	15.1903	58.5937	82.9362
920	-4890.825	-4785.505	-105.3204	71.0166	58.4601	13.545	13.8862	14.0782	15.1903	58.5937	82.9362
930	-4890.825	-4785.505	-105.3204	71.0166	58.4601	13.545	13.8862	14.0782	15.1903	58.5937	82.9362
940	-4890.825	-4785.505	-105.3204	71.0166	58.4601	13.545	13.8862	14.0782	15.1903	58.5937	82.9362
950	-4852.485	-4747.165	-105.3204	70.875	58.4601	13.7154	13.8862	14.1446	15.1903	56.9362	82.9362
960	-4808.343	-4703.022	-105.3204	70.875	58.4601	13.7154	13.8862	14.1446	15.1903	55.3895	82.9362
970	-4808.343	-4703.022	-105.3204	70.875	58.4601	13.7154	13.8862	14.1446	15.1903	55.3895	82.9362
980	-4808.343	-4703.022	-105.3204	70.875	58.4601	13.7154	13.8862	14.1446	15.1903	55.3895	82.9362
990	-4808.343	-4703.022	-105.3204	70.875	58.4601	13.7154	13.8862	14.1446	15.1903	55.3895	82.9362
1000	-4808.343	-4703.022	-105.3204	70.875	58.4601	13.7154	13.8862	14.1446	15.1903	55.3895	82.9362
1010	-4808.343	-4703.022	-105.3204	70.875	58.4601	13.7154	13.8862	14.1446	15.1903	55.3895	82.9362
1020	-4808.343	-4703.022	-105.3204	70.875	58.4601	13.7154	13.8862	14.1446	15.1903	55.3895	82.9362
1030	-4808.343	-4703.022	-105.3204	70.875	58.4601	13.7154	13.8862	14.1446	15.1903	55.3895	82.9362
1040	-4808.343	-4703.022	-105.3204	70.875	58.4601	13.7154	13.8862	14.1446	15.1903	55.3895	82.9362
1050	-4808.343	-4703.022	-105.3204	70.875	58.4601	13.7154	13.8862	14.1446	15.1903	55.3895	82.9362
1060	-4795.188	-4689.868	-105.3204	70.875	58.4601	13.7154	13.8862	14.1446	15.1903	54.3028	82.9362
1070	-4795.188	-4689.868	-105.3204	70.875	58.4601	13.7154	13.8862	14.1446	15.1903	54.3028	82.9362
1080	-4795.188	-4689.868	-105.3204	70.875	58.4601	13.7154	13.8862	14.1446	15.1903	54.3028	82.9362
1090	-4795.188	-4689.868	-105.3204	70.875	58.4601	13.7154	13.8862	14.1446	15.1903	54.3028	82.9362
1100	-4795.188	-4689.868	-105.3204	70.875	58.4601	13.7154	13.8862	14.1446	15.1903	54.3028	82.9362
1110	-4795.188	-4689.868	-105.3204	70.875	58.4601	13.7154	13.8862	14.1446	15.1903	54.3028	82.9362
1120	-4788.093	-4682.772	-105.3204	70.875	58.4601	13.7154	13.8862	14.1446	15.1903	54.3028	82.9362
1130	-4784.992	-4679.672	-105.3204	70.875	58.4601	13.8283	13.8862	14.1446	15.1903	54.3028	82.9362
1140	-4784.56	-4679.24	-105.3204	70.875	58.4601	13.8283	13.8862	14.1446	15.1903	54.3028	82.9362
1150	-4784.56	-4679.24	-105.3204	70.875	58.4601	13.8283	13.8862	14.1446	15.1903	54.3028	82.9362
1160	-4784.56	-4679.24	-105.3204	70.875	58.4601	13.8283	13.8862	14.1446	15.1903	54.3028	82.9362
1170	-4784.579	-4679.258	-105.3204	70.875	58.4601	13.8283	13.8862	14.1446	15.1903	54.3028	82.9362
1180	-4784.579	-4679.258	-105.3204	70.875	58.4601	13.8283	13.8862	14.1446	15.1903	54.3028	82.9362
1190	-4783.211	-4677.89	-105.3204	70.875	58.4601	13.8283	13.8976	14.1446	15.1903	54.3028	82.9362
1200	-4783.211	-4677.89	-105.3204	70.875	58.4601	13.8283	13.8976	14.1446	15.1903	54.3028	82.9362
1210	-4783.211	-4677.89	-105.3204	70.875	58.4601	13.8283	13.8976	14.1446	15.1903	54.3028	82.9362
1220	-4783.211	-4677.89	-105.3204	70.875	58.4601	13.8283	13.8976	14.1446	15.1903	54.3028	82.9362
1230	-4783.211	-4677.89	-105.3204	70.875	58.4601	13.8283	13.8976	14.1446	15.1903	54.3028	82.9362
1240	-4783.211	-4677.89	-105.3204	70.875	58.4601	13.8283	13.8976	14.1446	15.1903	54.3028	82.9362
1250	-4783.211	-4677.89	-105.3204	70.875	58.4601	13.8283	13.8976	14.1446	15.1903	54.3028	82.9362
1260	-4783.211	-4677.89	-105.3204	70.875	58.4601	13.8283	13.8976	14.1446	15.1903	54.3028	82.9362
1270	-4785.521	-4680.2	-105.3204	70.875	58.4601	13.8283	13.8976	14.1446	15.1903	54.3028	82.9362
1280	-4785.521	-4680.2	-105.3204	70.875	58.4601	13.8283	13.8976	14.1446	15.1903	54.3028	82.9362
1290	-4785.521	-4680.2	-105.3204	70.875	58.4601	13.8283	13.8976	14.1446	15.1903	54.3028	82.9362
1300	-4784.205	-4678.885	-105.3204	70.875	58.4601	13.8283	13.8976	14.1446	15.1903	54.3028	82.9362
1310	-4784.205	-4678.885	-105.3204	70.875	58.4601	13.8283	13.8976	14.1446	15.1903	54.3028	82.9362
1320	-4784.205	-4678.885	-105.3204	70.875	58.4601	13.8283	13.8976	14.1446	15.1903	54.3028	82.9362
1330	-4783.699	-4678.379	-105.3204	71.0617	58.4601	13.8283	13.8976	14.1446	15.1903	54.3028	82.9362
1340	-4783.578	-4678.258	-105.3204	71.0617	58.4601	13.8283	13.8976	14.1446	15.1903	54.3028	82.9362
1350	-4782.132	-4676.811	-105.3204	71.0617	58.4601	13.8283	13.8976	14.1446	15.1903	54.3028	82.9362
1360	-4779.35	-4674.03	-105.3204	71.0617	58.4601	13.7977	13.8689	14.1885	15.1903	54.3028	82.9362
1370	-4779.35	-4674.03	-105.3204	71.0617	58.4601	13.7977	13.8689	14.1885	15.1903	54.3028	82.9362
1380	-4779.35	-4674.03	-105.3204	71.0617	58.4601	13.7977	13.8689	14.1885	15.1903	54.3028	82.9362
1390	-4779.35	-4674.03	-105.3204	71.0617	58.4601	13.7977	13.8689	14.1885	15.1903	54.3028	82.9362
1400	-4779.35	-4674.03	-105.3204	71.0617	58.4601	13.7977	13.8689	14.1885	15.1903	54.3028	82.9362
1410	-4779.35	-4674.03	-105.3204	71.0617	58.4601	13.7977	13.8689	14.1885	15.1903	54.3028	82.9362
1420	-4779.35	-4674.03	-105.3204	71.0617	58.4601	13.7977	13.8689	14.1885	15.1903	54.3028	82.9362
