Iteration	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]
520	-4950.401	-4845.081	-105.3204	28.6026	42.9549	15.0832	11.0502	26.8548	55.8582	63.9796
530	-4951.767	-4846.447	-105.3204	28.6026	42.9549	15.0832	11.0502	26.8548	55.7265	63.9796
540	-4951.767	-4846.447	-105.3204	28.6026	42.9549	15.0832	11.0502	26.8548	55.7265	63.9796
550	-4951.767	-4846.447	-105.3204	28.6026	42.9549	15.0832	11.0502	26.8548	55.7265	63.9796
560	-4951.767	-4846.447	-105.3204	28.6026	42.9549	15.0832	11.0502	26.8548	55.7265	63.9796
570	-4939.614	-4834.293	-105.3204	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.9796
580	-4939.614	-4834.293	-105.3204	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.9796
590	-4939.614	-4834.293	-105.3204	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.9796
600	-4939.614	-4834.293	-105.3204	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.9796
610	-4939.614	-4834.293	-105.3204	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.9796
620	-4939.614	-4834.293	-105.3204	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.9796
630	-4939.614	-4834.293	-105.3204	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.9796
640	-4939.614	-4834.293	-105.3204	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.9796
650	-4939.614	-4834.293	-105.3204	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.9796
660	-4939.614	-4834.293	-105.3204	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.9796
670	-4939.614	-4834.293	-105.3204	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.9796
680	-4939.614	-4834.293	-105.3204	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.9796
690	-4939.614	-4834.293	-105.3204	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.9796
700	-4939.614	-4834.293	-105.3204	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.9796
710	-4939.614	-4834.293	-105.3204	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.9796
720	-4939.614	-4834.293	-105.3204	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.9796
730	-4939.614	-4834.293	-105.3204	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.9796
740	-4939.614	-4834.293	-105.3204	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.9796
750	-4940.09	-4834.77	-105.3204	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.9796
760	-4940.09	-4834.77	-105.3204	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.9796
770	-4939.051	-4833.731	-105.3204	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.5563
780	-4939.051	-4833.731	-105.3204	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.5563
790	-4892.115	-4786.795	-105.3204	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.5563
800	-4892.115	-4786.795	-105.3204	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.5563
810	-4892.115	-4786.795	-105.3204	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.5563
820	-4892.115	-4786.795	-105.3204	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.5563
830	-4892.115	-4786.795	-105.3204	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.5563
840	-4892.115	-4786.795	-105.3204	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.5563
850	-4892.115	-4786.795	-105.3204	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.5563
860	-4892.115	-4786.795	-105.3204	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.5563
870	-4892.115	-4786.795	-105.3204	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.5563
880	-4892.115	-4786.795	-105.3204	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.5563
890	-4892.115	-4786.795	-105.3204	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.5563
900	-4890.825	-4785.505	-105.3204	28.6026	42.9549	15.0832	11.0034	26.8548	55.9973	63.5563
910	-4890.825	-4785.505	-105.3204	28.6026	42.9549	15.0832	11.0034	26.8548	55.9973	63.5563
920	-4890.825	-4785.505	-105.3204	28.6026	42.9549	15.0832	11.0034	26.8548	55.9973	63.5563
930	-4890.825	-4785.505	-105.3204	28.6026	42.9549	15.0832	11.0034	26.8548	55.9973	63.5563
940	-4890.825	-4785.505	-105.3204	28.6026	42.9549	15.0832	11.0034	26.8548	55.9973	63.5563
950	-4852.485	-4747.165	-105.3204	28.6026	42.9549	15.0832	11.0034	26.8548	55.9973	63.5563
960	-4808.343	-4703.022	-105.3204	28.6026	42.9549	15.0832	10.863	26.8548	55.9973	63.5563
970	-4808.343	-4703.022	-105.3204	28.6026	42.9549	15.0832	10.863	26.8548	55.9973	63.5563
980	-4808.343	-4703.022	-105.3204	28.6026	42.9549	15.0832	10.863	26.8548	55.9973	63.5563
990	-4808.343	-4703.022	-105.3204	28.6026	42.9549	15.0832	10.863	26.8548	55.9973	63.5563
1000	-4808.343	-4703.022	-105.3204	28.6026	42.9549	15.0832	10.863	26.8548	55.9973	63.5563
1010	-4808.343	-4703.022	-105.3204	28.6026	42.9549	15.0832	10.863	26.8548	55.9973	63.5563
1020	-4808.343	-4703.022	-105.3204	28.6026	42.9549	15.0832	10.863	26.8548	55.9973	63.5563
1030	-4808.343	-4703.022	-105.3204	28.6026	42.9549	15.0832	10.863	26.8548	55.9973	63.5563
1040	-4808.343	-4703.022	-105.3204	28.6026	42.9549	15.0832	10.863	26.8548	55.9973	63.5563
1050	-4808.343	-4703.022	-105.3204	28.6026	42.9549	15.0832	10.863	26.8548	55.9973	63.5563
1060	-4795.188	-4689.868	-105.3204	28.6026	42.9549	15.0832	10.863	26.8548	55.817	63.5563
1070	-4795.188	-4689.868	-105.3204	28.6026	42.9549	15.0832	10.863	26.8548	55.817	63.5563
1080	-4795.188	-4689.868	-105.3204	28.6026	42.9549	15.0832	10.863	26.8548	55.817	63.5563
1090	-4795.188	-4689.868	-105.3204	28.6026	42.9549	15.0832	10.863	26.8548	55.817	63.5563
1100	-4795.188	-4689.868	-105.3204	28.6026	42.9549	15.0832	10.863	26.8548	55.817	63.5563
1110	-4795.188	-4689.868	-105.3204	28.6026	42.9549	15.0832	10.863	26.8548	55.817	63.5563
1120	-4788.093	-4682.772	-105.3204	28.6026	42.9549	15.0832	10.863	26.8548	55.817	63.5563
1130	-4784.992	-4679.672	-105.3204	28.6026	42.9549	15.0478	10.863	26.8548	55.817	63.5563
1140	-4784.56	-4679.24	-105.3204	28.6026	42.9549	15.0478	10.863	26.8548	55.817	63.5563
1150	-4784.56	-4679.24	-105.3204	28.6026	42.9549	15.0478	10.863	26.8548	55.817	63.5563
1160	-4784.56	-4679.24	-105.3204	28.6026	42.9549	15.0478	10.863	26.8548	55.817	63.5563
1170	-4784.579	-4679.258	-105.3204	28.6026	42.9549	15.0478	10.863	26.8548	55.817	63.5563
1180	-4784.579	-4679.258	-105.3204	28.6026	42.9549	15.0478	10.863	26.8548	55.817	63.5563
1190	-4783.211	-4677.89	-105.3204	28.6026	42.9549	15.0478	10.8551	26.8548	55.817	63.1886
1200	-4783.211	-4677.89	-105.3204	28.6026	42.9549	15.0478	10.8551	26.8548	55.817	63.1886
1210	-4783.211	-4677.89	-105.3204	28.6026	42.9549	15.0478	10.8551	26.8548	55.817	63.1886
1220	-4783.211	-4677.89	-105.3204	28.6026	42.9549	15.0478	10.8551	26.8548	55.817	63.1886
1230	-4783.211	-4677.89	-105.3204	28.6026	42.9549	15.0478	10.8551	26.8548	55.817	63.1886
1240	-4783.211	-4677.89	-105.3204	28.6026	42.9549	15.0478	10.8551	26.8548	55.817	63.1886
1250	-4783.211	-4677.89	-105.3204	28.6026	42.9549	15.0478	10.8551	26.8548	55.817	63.1886
1260	-4783.211	-4677.89	-105.3204	28.6026	42.9549	15.0478	10.8551	26.8548	55.817	63.1886
1270	-4785.521	-4680.2	-105.3204	28.6026	42.9549	15.0527	10.8551	26.8548	56.0153	63.1886
1280	-4785.521	-4680.2	-105.3204	28.6026	42.9549	15.0527	10.8551	26.8548	56.0153	63.1886
1290	-4785.521	-4680.2	-105.3204	28.6026	42.9549	15.0527	10.8551	26.8548	56.0153	63.1886
1300	-4784.205	-4678.885	-105.3204	28.6026	42.9549	15.0527	10.8551	26.8548	56.0225	63.3424
1310	-4784.205	-4678.885	-105.3204	28.6026	42.9549	15.0527	10.8551	26.8548	56.0225	63.3424
1320	-4784.205	-4678.885	-105.3204	28.6026	42.9549	15.0527	10.8551	26.8548	56.0225	63.3424
1330	-4783.699	-4678.379	-105.3204	28.6026	42.9549	15.0527	10.8551	26.8548	56.0225	63.3424
1340	-4783.578	-4678.258	-105.3204	28.6026	42.9549	15.0527	10.8176	26.8548	56.0225	63.3424
1350	-4782.132	-4676.811	-105.3204	28.6026	42.9549	15.0527	10.8176	26.8548	56.0225	63.3461
1360	-4779.35	-4674.03	-105.3204	28.5717	42.9549	15.0527	10.8176	26.8548	56.0225	63.3461
1370	-4779.35	-4674.03	-105.3204	28.5717	42.9549	15.0527	10.8176	26.8548	56.0225	63.3461
1380	-4779.35	-4674.03	-105.3204	28.5717	42.9549	15.0527	10.8176	26.8548	56.0225	63.3461
1390	-4779.35	-4674.03	-105.3204	28.5717	42.9549	15.0527	10.8176	26.8548	56.0225	63.3461
1400	-4779.35	-4674.03	-105.3204	28.5717	42.9549	15.0527	10.8176	26.8548	56.0225	63.3461
1410	-4779.35	-4674.03	-105.3204	28.5717	42.9549	15.0527	10.8176	26.8548	56.0225	63.3461
1420	-4779.35	-4674.03	-105.3204	28.5717	42.9549	15.0527	10.8176	26.8548	56.0225	63.3461
1430	-4779.35	-4674.03	-105.3204	28.5717	42.9549	15.0527	10.8176	26.8548	56.0225	63.3461
1440	-4779.35	-4674.03	-105.3204	28.5717	42.9549	15.0527	10.8176	26.8548	56.0225	63.3461
1450	-4780.556	-4675.235	-105.3204	28.5717	42.9549	15.0584	10.8176	26.8548	56.0225	63.3461
1460	-4780.556	-4675.235	-105.3204	28.5717	42.9549	15.0584	10.8176	26.8548	56.0225	63.3461
1470	-4780.556	-4675.235	-105.3204	28.5717	42.9549	15.0584	10.8176	26.8548	56.0225	63.3461
1480	-4779.868	-4674.548	-105.3204	28.5717	42.9549	15.0584	10.8176	26.8548	56.0225	63.3461
1490	-4777.716	-4672.395	-105.3204	28.5717	42.9549	15.0584	10.8176	26.8548	56.0225	63.3461
1500	-4778.062	-4672.742	-105.3204	28.5717	42.9549	15.0584	10.8176	26.8548	56.0225	63.312
1510	-4778.062	-4672.742	-105.3204	28.5717	42.9549	15.0584	10.8176	26.8548	56.0225	63.312
1520	-4778.062	-4672.742	-105.3204	28.5717	42.9549	15.0584	10.8176	26.8548	56.0225	63.312
1530	-4778.062	-4672.742	-105.3204	28.5717	42.9549	15.0584	10.8176	26.8548	56.0225	63.312
1540	-4777.786	-4672.466	-105.3204	28.5717	42.9891	15.0584	10.8176	26.8548	56.0225	63.306
1550	-4776.865	-4671.544	-105.3204	28.5717	42.9891	15.0584	10.8176	26.8548	56.0011	63.306
1560	-4776.865	-4671.544	-105.3204	28.5717	42.9891	15.0584	10.8176	26.8548	56.0011	63.306
1570	-4776.865	-4671.544	-105.3204	28.5717	42.9891	15.0584	10.8176	26.8548	56.0011	63.306
1580	-4776.196	-4670.876	-105.3204	28.5717	42.9884	15.0584	10.8176	26.8548	55.9163	63.306
1590	-4776.196	-4670.876	-105.3204	28.5717	42.9884	15.0584	10.8176	26.8548	55.9163	63.306
1600	-4774.682	-4669.361	-105.3204	28.5717	42.9884	15.0313	10.8176	26.8548	55.9163	63.306
1610	-4775.439	-4670.119	-105.3204	28.5717	42.9884	15.0313	10.8263	26.8548	55.9163	63.306
1620	-4775.439	-4670.119	-105.3204	28.5717	42.9884	15.0313	10.8263	26.8548	55.9163	63.306
1630	-4775.439	-4670.119	-105.3204	28.5717	42.9884	15.0313	10.8263	26.8548	55.9163	63.306
1640	-4775.439	-4670.119	-105.3204	28.5717	42.9884	15.0313	10.8263	26.8548	55.9163	63.306
1650	-4775.439	-4670.119	-105.3204	28.5717	42.9884	15.0313	10.8263	26.8548	55.9163	63.306
1660	-4774.399	-4669.078	-105.3204	28.5717	42.9884	15.0313	10.8263	26.8548	55.9266	63.306
1670	-4774.399	-4669.078	-105.3204	28.5717	42.9884	15.0313	10.8263	26.8548	55.9266	63.306
1680	-4774.399	-4669.078	-105.3204	28.5717	42.9884	15.0313	10.8263	26.8548	55.9266	63.306
1690	-4774.399	-4669.078	-105.3204	28.5717	42.9884	15.0313	10.8263	26.8548	55.9266	63.306
1700	-4775.703	-4670.382	-105.3204	28.5717	42.9506	15.0313	10.8263	26.8548	55.9266	63.306
1710	-4775.703	-4670.382	-105.3204	28.5717	42.9506	15.0313	10.8263	26.8548	55.9266	63.306
1720	-4773.579	-4668.259	-105.3204	28.5819	42.9506	15.0313	10.8186	26.8548	55.9266	63.306
1730	-4773.579	-4668.259	-105.3204	28.5819	42.9506	15.0313	10.8186	26.8548	55.9266	63.306
1740	-4773.579	-4668.259	-105.3204	28.5819	42.9506	15.0313	10.8186	26.8548	55.9266	63.306
1750	-4773.579	-4668.259	-105.3204	28.5819	42.9506	15.0313	10.8186	26.8548	55.9266	63.306
1760	-4773.579	-4668.259	-105.3204	28.5819	42.9506	15.0313	10.8186	26.8548	55.9266	63.306
1770	-4773.579	-4668.259	-105.3204	28.5819	42.9506	15.0313	10.8186	26.8548	55.9266	63.306
1780	-4773.579	-4668.259	-105.3204	28.5819	42.9506	15.0313	10.8186	26.8548	55.9266	63.306
1790	-4773.579	-4668.259	-105.3204	28.5819	42.9506	15.0313	10.8186	26.8548	55.9266	63.306
1800	-4773.579	-4668.259	-105.3204	28.5819	42.9506	15.0313	10.8186	26.8548	55.9266	63.306
1810	-4773.579	-4668.259	-105.3204	28.5819	42.9506	15.0313	10.8186	26.8548	55.9266	63.306
1820	-4773.579	-4668.259	-105.3204	28.5819	42.9506	15.0313	10.8186	26.8548	55.9266	63.306
1830	-4773.579	-4668.259	-105.3204	28.5819	42.9506	15.0313	10.8186	26.8548	55.9266	63.306
1840	-4773.579	-4668.259	-105.3204	28.5819	42.9506	15.0313	10.8186	26.8548	55.9266	63.306
1850	-4773.579	-4668.259	-105.3204	28.5819	42.9506	15.0313	10.8186	26.8548	55.9266	63.306
1860	-4773.645	-4668.324	-105.3204	28.5819	42.9506	15.0313	10.8186	26.8548	55.9266	63.306
1870	-4772.994	-4667.673	-105.3204	28.5819	42.9506	15.0313	10.8186	26.8484	55.9266	63.306
1880	-4772.994	-4667.673	-105.3204	28.5819	42.9506	15.0313	10.8186	26.8484	55.9266	63.306
1890	-4772.994	-4667.673	-105.3204	28.5819	42.9506	15.0313	10.8186	26.8484	55.9266	63.306
1900	-4772.994	-4667.673	-105.3204	28.5819	42.9506	15.0313	10.8186	26.8484	55.9266	63.306
1910	-4772.994	-4667.673	-105.3204	28.5819	42.9506	15.0313	10.8186	26.8484	55.9266	63.306
1920	-4772.994	-4667.673	-105.3204	28.5819	42.9506	15.0313	10.8186	26.8484	55.9266	63.306
1930	-4772.994	-4667.673	-105.3204	28.5819	42.9506	15.0313	10.8186	26.8484	55.9266	63.306
1940	-4773.039	-4667.719	-105.3204	28.5819	42.9506	15.0313	10.8186	26.8484	55.9266	63.306
1950	-4773.039	-4667.719	-105.3204	28.5819	42.9506	15.0313	10.8186	26.8484	55.9266	63.306
1960	-4773.039	-4667.719	-105.3204	28.5819	42.9506	15.0313	10.8186	26.8484	55.9266	63.306
1970	-4773.039	-4667.719	-105.3204	28.5819	42.9506	15.0313	10.8186	26.8484	55.9266	63.306
1980	-4772.794	-4667.473	-105.3204	28.5819	42.9506	15.0313	10.8186	26.8521	55.9266	63.306
1990	-4772.794	-4667.473	-105.3204	28.5819	42.9506	15.0313	10.8186	26.8521	55.9266	63.306
2000	-4772.794	-4667.473	-105.3204	28.5819	42.9506	15.0313	10.8186	26.8521	55.9266	63.306
2010	-4773.74	-4668.42	-105.3204	28.5819	42.9506	15.0313	10.8186	26.853	55.9266	63.306
2020	-4773.74	-4668.42	-105.3204	28.5819	42.9506	15.0313	10.8186	26.853	55.9266	63.306
2030	-4773.74	-4668.42	-105.3204	28.5819	42.9506	15.0313	10.8186	26.853	55.9266	63.306
2040	-4773.74	-4668.42	-105.3204	28.5819	42.9506	15.0313	10.8186	26.853	55.9266	63.306
2050	-4773.74	-4668.42	-105.3204	28.5819	42.9506	15.0313	10.8186	26.853	55.9266	63.306
2060	-4773.656	-4668.336	-105.3204	28.5819	42.9506	15.0313	10.8186	26.853	55.9266	63.306
2070	-4773.656	-4668.336	-105.3204	28.5819	42.9506	15.0313	10.8186	26.853	55.9266	63.306
2080	-4774.402	-4669.081	-105.3204	28.5819	42.9506	15.0289	10.8186	26.853	55.9266	63.3158
2090	-4774.402	-4669.081	-105.3204	28.5819	42.9506	15.0289	10.8186	26.853	55.9266	63.3158
2100	-4774.402	-4669.081	-105.3204	28.5819	42.9506	15.0289	10.8186	26.853	55.9266	63.3158
2110	-4774.402	-4669.081	-105.3204	28.5819	42.9506	15.0289	10.8186	26.853	55.9266	63.3158
2120	-4773.779	-4668.459	-105.3204	28.5819	42.9506	15.0289	10.8186	26.853	55.9283	63.3158
2130	-4773.779	-4668.459	-105.3204	28.5819	42.9506	15.0289	10.8186	26.853	55.9283	63.3158
2140	-4773.779	-4668.459	-105.3204	28.5819	42.9506	15.0289	10.8186	26.853	55.9283	63.3158
2150	-4773.779	-4668.459	-105.3204	28.5819	42.9506	15.0289	10.8186	26.853	55.9283	63.3158
2160	-4773.779	-4668.459	-105.3204	28.5819	42.9506	15.0289	10.8186	26.853	55.9283	63.3158
2170	-4773.779	-4668.459	-105.3204	28.5819	42.9506	15.0289	10.8186	26.853	55.9283	63.3158
2180	-4773.397	-4668.077	-105.3204	28.5819	42.9506	15.0289	10.8186	26.853	55.9283	63.3158
2190	-4773.397	-4668.077	-105.3204	28.5819	42.9506	15.0289	10.8186	26.853	55.9283	63.3158
