Iteration	Posterior	Likelihood	Prior	delta_log_extinction[1]	delta_log_extinction[2]	delta_log_extinction[3]	delta_log_extinction[4]	delta_log_extinction[5]	delta_log_extinction[6]	delta_log_extinction[7]	delta_log_extinction[8]	delta_log_extinction[9]	delta_log_speciation[1]	delta_log_speciation[2]	delta_log_speciation[3]	delta_log_speciation[4]	delta_log_speciation[5]	delta_log_speciation[6]	delta_log_speciation[7]	delta_log_speciation[8]	delta_log_speciation[9]	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction_global_scale	log_extinction_at_present	log_speciation_at_present	sigma_extinction[1]	sigma_extinction[2]	sigma_extinction[3]	sigma_extinction[4]	sigma_extinction[5]	sigma_extinction[6]	sigma_extinction[7]	sigma_extinction[8]	sigma_extinction[9]	sigma_speciation[1]	sigma_speciation[2]	sigma_speciation[3]	sigma_speciation[4]	sigma_speciation[5]	sigma_speciation[6]	sigma_speciation[7]	sigma_speciation[8]	sigma_speciation[9]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation_global_scale
0	-2009.822	-2091.428	81.60597	0.000891825	0.00155831	-0.00115574	-0.000497359	0.0061024	-0.00199156	-0.000660358	9.23465e-05	0.00167314	0.000238768	0.000358142	0.000627849	-1.59983e-05	-0.00119567	-0.000473615	0.000766957	-5.20473e-05	6.39444e-05	0.367879	0.368208	0.368782	0.368356	0.368173	0.370426	0.369689	0.369445	0.369479	0.370098	0.7120848	-1	0	0.055157	0.0384369	0.0500534	0.0361428	0.0734709	0.0942206	0.0266446	0.00783748	0.0619934	0.0311847	0.0871121	0.0736026	0.00500733	0.0170906	0.0643744	0.0822746	0.0192971	0.0223419	1	1.00024	1.0006	1.00123	1.00121	1.00001	0.99954	1.00031	1.00025	1.00032	0.5792712
10	-1549.08	-1578.973	29.89218	-0.0121805	0.00315664	0.396207	-0.173008	0.00978565	-0.0822798	0.0684492	-0.028657	-0.0046213	-0.014375	5.57546e-06	-0.00245988	-0.00124299	-0.000390295	0.0566247	-0.00767335	0.0539353	-9.87431e-05	0.367879	0.363426	0.364575	0.541823	0.455744	0.460226	0.423874	0.453904	0.441081	0.439048	1.185638	-1	-0.7571131	0.356585	0.0819762	7.30982	2.61111	0.439454	0.833101	2.40115	0.311783	0.0714395	0.837572	0.000212278	0.247181	0.0839334	0.0295365	2.12166	0.303979	1.95197	0.00765277	0.469018	0.462325	0.462327	0.461191	0.460618	0.460439	0.487263	0.483539	0.510334	0.510284	0.6144056
20	-1542.723	-1579.492	36.7687	0.0151158	-0.0550235	0.000199977	0.0805075	0.00833987	-0.00478599	-0.0206348	-0.00377859	0.014985	0.00622329	8.08156e-07	0.00643641	-0.00168511	-0.00817657	0.00222288	0.0183702	0.000108116	-0.000662587	0.394119	0.400121	0.3787	0.378776	0.410531	0.413969	0.411993	0.403578	0.402056	0.408127	0.323259	-0.9311032	-0.7571131	1.80833	3.23043	0.0686399	5.27918	2.2196	1.50261	0.868481	0.60887	0.775106	1.20243	0.000444715	1.3716	0.282742	1.39678	0.252611	3.18011	0.392523	0.462636	0.469018	0.471946	0.471947	0.474994	0.474195	0.470333	0.47138	0.480119	0.480171	0.479853	0.1448281
30	-1539.668	-1578.237	38.56894	0.000448379	0.0637369	-0.0142842	-0.0101365	0.000427168	-0.000102903	-0.00757431	0.0127179	-0.000644548	0.00345176	0.000373548	0.00437565	-0.0324574	0.000310032	-5.81045e-05	0.0314669	0.000121108	-0.00091899	0.394119	0.394295	0.420245	0.414285	0.410106	0.410282	0.410239	0.407144	0.412355	0.412089	0.1174988	-0.9311032	-0.7571131	0.286462	9.63832	3.7867	1.37125	0.730656	0.0124856	4.68528	1.13087	0.0931963	0.607296	0.130778	1.20158	3.63159	0.382933	0.0621164	5.49481	1.50962	0.193109	0.469018	0.47064	0.470816	0.472881	0.457779	0.457921	0.457894	0.472532	0.472589	0.472155	0.1058317
40	-1558.997	-1578.446	19.44962	0.0391142	-0.0432654	0.0161065	0.040618	0.0209687	0.00700598	-0.156638	0.187565	-0.0108945	-0.000656702	0.000815476	0.00058365	-0.00366181	0.00366784	0.00051397	-0.000462066	-0.000309114	3.27233e-05	0.394119	0.40984	0.392486	0.398859	0.415393	0.424195	0.427178	0.365243	0.440595	0.435821	0.7373722	-0.9311032	-0.7571131	2.12569	4.07204	1.01827	6.13366	0.939789	3.12127	6.58388	3.5725	0.377525	0.571937	0.477069	0.167327	3.47878	1.40866	0.343561	1.16436	1.77112	0.307145	0.469018	0.468711	0.469093	0.469367	0.467651	0.46937	0.469611	0.469394	0.469249	0.469264	0.04629545
50	-1550.382	-1580.078	29.69603	-0.0496024	0.000130254	0.0302754	-0.00487025	-0.00204194	0.0270468	0.00048867	-0.00277755	0.014764	-0.00208758	-0.00533648	0.000613931	-0.00315923	-0.0060362	0.00702852	0.00776589	0.000662897	-0.000452602	0.394119	0.375046	0.375095	0.386625	0.384747	0.383962	0.394489	0.394681	0.393587	0.399441	0.5779839	-0.9311032	-0.7571131	0.771456	0.010634	1.05224	1.24596	0.1992	1.05773	0.222691	0.416662	1.51196	2.14123	0.968659	1.70064	8.54204	2.17008	0.869359	2.21894	0.835442	0.389345	0.469018	0.46804	0.465549	0.465835	0.464366	0.461571	0.464827	0.468451	0.468761	0.468549	0.09134448
60	-1557.859	-1578.765	20.90623	-0.0048827	-0.0206621	0.0621077	-0.00500683	0.0251878	-0.0164006	-0.0191132	-0.0901774	-0.0100106	0.00331369	-0.00176456	-0.00142572	-0.00796902	0.000100749	0.00252285	-0.00113691	0.0041423	4.04741e-05	0.394119	0.392199	0.384178	0.408795	0.406754	0.417129	0.410344	0.402575	0.367861	0.364197	0.50103	-0.9311032	-0.7571131	0.411235	0.85262	4.80332	2.02833	1.38602	1.48409	2.33853	17.764	0.64434	3.01467	1.35629	1.39224	3.407	0.269959	2.32446	0.654851	5.78964	0.0706725	0.469018	0.470575	0.469746	0.469076	0.465353	0.4654	0.466576	0.466046	0.46798	0.467999	0.03690265
70	-1516.574	-1579.841	63.26665	0.00113725	0.000588957	-0.000214964	-0.000232289	-0.012139	-0.000312274	0.00135297	0.00641631	1.73017e-05	0.00055021	-0.000537418	0.000424176	0.000184536	-0.000217935	-0.00137157	0.00464374	9.10771e-06	0.00389799	0.394119	0.394567	0.3948	0.394715	0.394623	0.389862	0.38974	0.390268	0.39278	0.392787	0.01286591	-0.9311032	-0.7571131	2.77897	0.563736	0.304902	0.429775	26.6631	0.512293	1.44953	28.5729	0.0613842	0.874406	1.50938	0.879213	0.164557	0.10148	0.798574	4.384	0.025884	2.18701	0.469018	0.469277	0.469024	0.469223	0.46931	0.469208	0.468565	0.470746	0.47075	0.472589	0.04221947
80	-1531.443	-1579.899	48.45585	-5.30081e-05	-0.000138308	-0.0172924	0.00265566	-0.000615917	-9.57302e-05	0.00216764	-0.00305059	-0.0217395	0.00188155	-0.00442612	0.000210145	-0.00259196	0.00547801	-0.000318557	-0.000365929	-0.0423754	-0.0143338	0.394119	0.394098	0.394043	0.387288	0.388318	0.388079	0.388042	0.388884	0.387699	0.379362	0.07269518	-0.9311032	-0.7571131	0.0427323	0.793109	5.78297	1.0141	0.538717	0.0638872	1.47077	1.11203	3.28452	0.722204	0.493061	0.0423917	1.1041	0.520112	0.0712961	0.887028	7.14552	1.93544	0.469018	0.469902	0.467827	0.467925	0.466714	0.469277	0.469128	0.468956	0.449499	0.443102	0.1724843
90	-1506.862	-1579.995	73.1332	-0.01206	0.000254827	-0.000351152	0.00187804	0.00150743	-0.00260662	0.00720582	-0.00320907	0.00254216	-0.000214507	-0.000118304	-0.000347188	0.000293548	0.000140058	0.00011312	-0.000270181	-0.00234108	-0.000195226	0.394119	0.389394	0.389493	0.389357	0.390089	0.390677	0.38966	0.392478	0.391221	0.392216	0.1102291	-0.9311032	-0.7571131	3.26871	0.725368	0.291102	0.255517	0.390337	0.642356	1.0718	0.881255	1.32233	0.810016	0.0418729	0.429197	0.328847	0.240551	0.0768061	0.499135	1.18546	0.466958	0.469018	0.468918	0.468862	0.4687	0.468837	0.468903	0.468956	0.468829	0.467733	0.467642	0.02596068
