Iteration	Replicate_ID	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]
43	1	-1577.485	-1597.92	20.4343	0.666322	0.912044	0.909168	0.909459	0.735732	0.841453	0.831118	0.849362	0.846691	0.835943
44	0	-1579.18	-1574.186	-4.99421	0.4003	0.388943	0.405825	0.379937	0.320739	0.314699	0.3271	0.342219	0.358857	0.362782
45	1	-1581.882	-1598.109	16.22739	0.666322	0.913033	0.912168	0.906498	0.798981	0.699787	0.738075	0.839891	0.868951	0.884817
46	0	-1562.292	-1574.076	11.78407	0.406605	0.393172	0.378732	0.351354	0.354473	0.357138	0.361583	0.396921	0.398415	0.400088
47	1	-1609.34	-1598.39	-10.94972	0.666322	0.923009	0.903218	0.833933	0.794941	0.731703	0.78287	1.02151	0.99451	1.32767
48	0	-1555.054	-1573.854	18.79955	0.406605	0.406407	0.406059	0.422656	0.422574	0.42383	0.427181	0.423455	0.462905	0.461513
49	1	-1593.044	-1598.871	5.827091	0.666322	0.900686	0.869462	0.899135	0.856111	0.86095	0.809711	0.780356	0.783209	0.783224
50	0	-1559.233	-1573.233	13.9996	0.406605	0.407165	0.410363	0.406407	0.389905	0.377906	0.379141	0.374756	0.375245	0.373412
51	1	-1599.689	-1598.153	-1.536187	0.666322	0.941734	0.935556	0.76348	0.753276	0.728898	0.809814	0.80257	0.741323	0.780323
52	0	-1573.884	-1573.004	-0.880687	0.406605	0.403808	0.404594	0.379333	0.267712	0.270071	0.250967	0.28657	0.294507	0.369589
53	1	-1599.039	-1601.226	2.186955	0.666322	0.748259	0.709191	0.709087	0.696405	0.600323	0.691434	0.741873	0.737106	0.729906
54	0	-1543.009	-1574.478	31.469	0.406605	0.406623	0.406007	0.408504	0.408423	0.409387	0.403065	0.40276	0.404474	0.404963
55	1	-1584.028	-1596.292	12.26451	0.666322	0.746093	0.730506	0.66658	0.661655	0.646928	0.693411	0.686667	0.674593	0.657199
56	0	-1543.648	-1574.58	30.93229	0.406605	0.420413	0.409817	0.398454	0.397048	0.400113	0.409468	0.413142	0.413877	0.425513
57	1	-1582.332	-1594.885	12.55342	0.666322	0.768355	0.763068	0.728228	0.708622	0.69713	0.693459	0.68898	0.725226	0.722856
58	0	-1537.131	-1573.803	36.67208	0.406605	0.406933	0.403374	0.395143	0.363016	0.362206	0.373758	0.36875	0.368558	0.36908
59	1	-1585.517	-1595.091	9.573869	0.666322	0.770237	0.739049	0.722328	0.715124	0.715123	0.716073	0.722425	0.626	0.625538
60	0	-1544.142	-1575.478	31.33643	0.406605	0.401251	0.387066	0.401909	0.409836	0.409794	0.403147	0.401503	0.421605	0.421634
61	1	-1571.401	-1593.45	22.04922	0.666322	0.830809	0.796986	0.796981	0.766009	0.765765	0.765726	0.764257	0.765778	0.767896
62	0	-1544.804	-1574.391	29.58633	0.406605	0.405297	0.40359	0.40015	0.393436	0.393978	0.395942	0.386389	0.390991	0.39181
63	1	-1561.702	-1592.901	31.19929	0.666322	0.814437	0.816458	0.817041	0.816685	0.815949	0.814497	0.815542	0.817109	0.815952
64	0	-1560.094	-1577.61	17.51675	0.406605	0.37838	0.379159	0.366748	0.357917	0.35888	0.359786	0.341917	0.343096	0.345247
65	1	-1585.1	-1594.016	8.915822	0.666322	0.777356	0.777354	0.767955	0.775046	0.779588	0.769341	0.75307	0.755101	0.767864
66	0	-1534.658	-1575.188	40.52961	0.406605	0.415979	0.413394	0.413677	0.397317	0.392665	0.392063	0.3921	0.389346	0.388503
67	1	-1596.102	-1597.871	1.769937	0.666322	0.666762	0.691493	0.707386	0.687695	0.692784	0.69615	0.696103	0.761609	0.758078
68	0	-1579.954	-1573.663	-6.290415	0.357519	0.355308	0.330581	0.328556	0.359401	0.35955	0.280224	0.335409	0.3506	0.359301
69	1	-1591.589	-1594.184	2.594756	0.666322	0.752769	0.750166	0.776771	0.739701	0.732533	0.728422	0.724558	0.765556	0.791873
70	0	-1563.189	-1570.856	7.666714	0.361277	0.346413	0.339004	0.307371	0.316463	0.316526	0.304891	0.305187	0.303471	0.29448
71	1	-1570.331	-1596.53	26.19893	0.666322	0.663107	0.666255	0.665713	0.63385	0.632357	0.645288	0.660313	0.628979	0.653884
72	0	-1573.288	-1570.344	-2.943766	0.361277	0.362973	0.36666	0.36902	0.369449	0.307102	0.305786	0.335499	0.332457	0.405455
73	1	-1565.067	-1597.198	32.13129	0.666322	0.668581	0.66933	0.667152	0.665418	0.665971	0.66608	0.652523	0.650294	0.649917
74	0	-1552.727	-1571.166	18.43972	0.361277	0.361944	0.361978	0.360831	0.36018	0.360647	0.360574	0.360623	0.35959	0.35776
75	1	-1582.409	-1596.312	13.90253	0.666322	0.665806	0.66597	0.663742	0.664934	0.663207	0.679853	0.677368	0.674859	0.673809
76	0	-1551.77	-1572.515	20.74506	0.361277	0.358765	0.360135	0.361302	0.361666	0.362472	0.362346	0.361293	0.364857	0.362354
77	1	-1579.431	-1595.715	16.2845	0.666322	0.82459	0.822071	0.822918	0.839236	0.844268	0.845627	0.830406	0.830232	0.829634
78	0	-1546.939	-1571.867	24.92764	0.361277	0.362815	0.36685	0.358634	0.364366	0.316259	0.309426	0.304473	0.328406	0.314818
79	1	-1573.279	-1594.496	21.21697	0.666322	0.698956	0.702287	0.700519	0.702454	0.704203	0.709459	0.734235	0.7332	0.733316
80	0	-1551.887	-1572.151	20.2649	0.361277	0.331719	0.321672	0.271883	0.228874	0.230906	0.216833	0.198966	0.206393	0.184348
81	1	-1583.392	-1593.306	9.913519	0.666322	0.750292	0.750535	0.738129	0.737156	0.73855	0.683905	0.686168	0.657609	0.660245
82	0	-1553.265	-1570.378	17.11237	0.296442	0.301919	0.295819	0.29663	0.245674	0.247439	0.248847	0.248971	0.248794	0.248978
83	1	-1569.376	-1593.914	24.53846	0.666322	0.702965	0.704885	0.656209	0.656828	0.633006	0.628693	0.637893	0.636664	0.609208
84	0	-1585.648	-1566.364	-19.28379	0.257709	0.199171	0.187449	0.160308	0.125497	0.124103	0.125477	0.129757	0.104329	0.115266
85	1	-1584.585	-1595.702	11.11666	0.666304	0.679156	0.64325	0.638961	0.639483	0.650161	0.634883	0.508618	0.618341	0.613755
86	0	-1563.257	-1573.321	10.06381	0.299856	0.278295	0.278236	0.267438	0.266993	0.284098	0.263088	0.246569	0.199451	0.165184
87	1	-1537.319	-1594.298	56.97941	0.666304	0.68593	0.688972	0.672677	0.673022	0.673535	0.675658	0.67529	0.675361	0.675365
88	0	-1550.417	-1569.88	19.4631	0.268649	0.267036	0.266078	0.26324	0.249164	0.249864	0.182167	0.17501	0.176737	0.172019
89	1	-1578.626	-1595.19	16.56447	0.666304	0.707209	0.682909	0.658688	0.659368	0.662356	0.755519	0.75531	0.442248	0.445552
90	0	-1557.842	-1567.535	9.693276	0.268649	0.255403	0.24305	0.24497	0.151026	0.147956	0.157158	0.158581	0.159573	0.148766
91	1	-1588.164	-1591.543	3.379549	0.641132	0.694032	0.691029	0.67832	0.70404	0.694658	0.660256	0.664137	0.622221	0.723615
92	0	-1584.593	-1567.894	-16.69895	0.217146	0.182465	0.0877693	0.110527	0.108921	0.0712858	0.0723696	0.0735562	0.0834109	0.0469581
93	1	-1600.414	-1589.577	-10.83703	0.601055	0.666179	0.727135	0.695085	0.698373	0.759874	0.732687	0.798905	0.808904	0.802638
94	0	-1599.711	-1566.168	-33.54259	0.226985	0.172213	0.0952217	0.0860912	0.0564338	0.0357292	0.0286803	0.102147	0.014588	0.0120324
95	1	-1597.674	-1587.775	-9.899048	0.601055	0.81963	0.824148	0.823135	0.817461	0.856795	0.857391	0.85696	0.942912	0.945645
96	0	-1605.944	-1568.753	-37.19036	0.192522	0.1478	0.0943475	0.0770128	0.10304	0.0717879	0.071705	0.0323207	0.0313001	0.0254944
97	1	-1586.198	-1587.667	1.469361	0.601263	0.755322	0.758245	0.756893	0.761626	0.759363	0.763431	0.750282	0.744027	0.751467
98	0	-1592.638	-1567.576	-25.06261	0.198974	0.152379	0.0671106	0.0691547	0.0691524	0.019976	0.0215454	0.0214758	0.0269881	0.0302637
99	1	-1581.766	-1589.162	7.395744	0.601263	0.710709	0.704769	0.680796	0.712561	0.707885	0.702656	0.726908	0.731555	0.768119
100	0	-1590.556	-1569.544	-21.01177	0.221206	0.194114	0.093635	0.0909884	0.0901397	0.0907384	0.0976996	0.0637014	0.0502607	0.0439931
101	1	-1587.084	-1592.04	4.956012	0.585804	0.655853	0.65879	0.609747	0.609129	0.600734	0.600245	0.584804	0.535109	0.517664
102	0	-1582.343	-1566.674	-15.66829	0.224824	0.135954	0.119593	0.124886	0.047361	0.0476722	0.0448497	0.0510172	0.0511761	0.0525552
103	1	-1592.167	-1590.791	-1.375646	0.585804	0.733321	0.724143	0.71012	0.682205	0.748728	0.730959	0.733232	0.650535	0.652423
