Iteration	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]
440	-1578.626	-1595.19	16.56447	0.666304	0.707209	0.682909	0.658688	0.659368	0.662356	0.755519	0.75531	0.442248	0.445552
450	-1588.164	-1591.543	3.379549	0.641132	0.694032	0.691029	0.67832	0.70404	0.694658	0.660256	0.664137	0.622221	0.723615
460	-1600.414	-1589.577	-10.83703	0.601055	0.666179	0.727135	0.695085	0.698373	0.759874	0.732687	0.798905	0.808904	0.802638
470	-1597.674	-1587.775	-9.899048	0.601055	0.81963	0.824148	0.823135	0.817461	0.856795	0.857391	0.85696	0.942912	0.945645
480	-1586.198	-1587.667	1.469361	0.601263	0.755322	0.758245	0.756893	0.761626	0.759363	0.763431	0.750282	0.744027	0.751467
490	-1581.766	-1589.162	7.395744	0.601263	0.710709	0.704769	0.680796	0.712561	0.707885	0.702656	0.726908	0.731555	0.768119
500	-1587.084	-1592.04	4.956012	0.585804	0.655853	0.65879	0.609747	0.609129	0.600734	0.600245	0.584804	0.535109	0.517664
510	-1592.167	-1590.791	-1.375646	0.585804	0.733321	0.724143	0.71012	0.682205	0.748728	0.730959	0.733232	0.650535	0.652423
520	-1558.118	-1588.12	30.00228	0.585804	0.589509	0.589394	0.590211	0.520197	0.517743	0.523134	0.524929	0.528325	0.528074
530	-1601.274	-1590.505	-10.76901	0.610875	0.609569	0.629316	0.62024	0.61217	0.532404	0.513014	0.532393	0.535728	0.583825
540	-1593.807	-1588.133	-5.674183	0.572297	0.57064	0.511978	0.512774	0.457415	0.439935	0.449497	0.416158	0.415702	0.413793
550	-1552.075	-1590.344	38.26935	0.572297	0.570983	0.571006	0.574592	0.575019	0.575676	0.577218	0.576338	0.576367	0.581424
560	-1550.13	-1587.134	37.004	0.573757	0.580532	0.581548	0.582975	0.579578	0.580469	0.578686	0.572709	0.571232	0.560188
570	-1596.48	-1589.977	-6.502724	0.573757	0.625227	0.513866	0.588218	0.589042	0.663113	0.508096	0.445053	0.428296	0.422212
