Iteration	Replicate_ID	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]
43	1	-1577.485	-1597.92	20.4343	0.781395	0.788061	0.78764	0.789485	0.793471	0.794664	0.800633	0.801566	0.792942	0.788499
44	0	-1579.18	-1574.186	-4.99421	0.321137	0.316807	0.318544	0.318008	0.31926	0.246712	0.253241	0.238908	0.236609	0.243451
45	1	-1581.882	-1598.109	16.22739	0.781395	0.778526	0.782828	0.777983	0.778455	0.777823	0.778896	0.778992	0.744673	0.745702
46	0	-1562.292	-1574.076	11.78407	0.321137	0.330767	0.324679	0.318059	0.317412	0.318896	0.324858	0.363555	0.379276	0.378754
47	1	-1609.34	-1598.39	-10.94972	0.781395	0.779614	0.794081	0.805809	0.809946	0.802792	0.835828	0.846529	0.84737	0.847123
48	0	-1555.054	-1573.854	18.79955	0.321137	0.331596	0.342788	0.379514	0.380372	0.38379	0.38757	0.388305	0.332935	0.359276
49	1	-1593.044	-1598.871	5.827091	0.781395	0.787219	0.79101	0.793741	0.804203	0.782748	0.798893	0.773451	0.773008	0.771136
50	0	-1559.233	-1573.233	13.9996	0.321137	0.33599	0.332743	0.33169	0.374396	0.375908	0.387014	0.353962	0.339778	0.340361
51	1	-1599.689	-1598.153	-1.536187	0.781395	0.781692	0.774378	0.771415	0.765342	0.773865	0.773596	0.769924	0.777396	0.779429
52	0	-1573.884	-1573.004	-0.880687	0.321137	0.321043	0.308365	0.301805	0.282412	0.273507	0.273768	0.27084	0.271005	0.261366
53	1	-1599.039	-1601.226	2.186955	0.781395	0.634548	0.631747	0.630837	0.60694	0.611272	0.659682	0.629991	0.631387	0.631551
54	0	-1543.009	-1574.478	31.469	0.340407	0.338752	0.337964	0.345557	0.376383	0.421516	0.425182	0.426906	0.404354	0.412283
55	1	-1584.028	-1596.292	12.26451	0.737145	0.598319	0.616994	0.615978	0.610954	0.611186	0.634235	0.634958	0.646071	0.6416
56	0	-1543.648	-1574.58	30.93229	0.340407	0.340773	0.339793	0.339469	0.339526	0.343357	0.344949	0.330669	0.331841	0.336424
57	1	-1582.332	-1594.885	12.55342	0.712086	0.694283	0.685055	0.684412	0.714577	0.716027	0.708339	0.709092	0.705834	0.704972
58	0	-1537.131	-1573.803	36.67208	0.340407	0.338024	0.335807	0.337658	0.338092	0.339891	0.339735	0.340113	0.340041	0.340114
59	1	-1585.517	-1595.091	9.573869	0.712086	0.692156	0.693858	0.695176	0.689002	0.703374	0.700718	0.702203	0.6888	0.688608
60	0	-1544.142	-1575.478	31.33643	0.340407	0.343781	0.339629	0.339651	0.340681	0.345311	0.345426	0.345002	0.344704	0.344645
61	1	-1571.401	-1593.45	22.04922	0.712086	0.711432	0.71381	0.71898	0.716836	0.738705	0.727167	0.723683	0.725036	0.725771
62	0	-1544.804	-1574.391	29.58633	0.340407	0.33996	0.340063	0.345181	0.345149	0.345915	0.34559	0.33313	0.332938	0.332972
63	1	-1561.702	-1592.901	31.19929	0.694393	0.698221	0.776602	0.778599	0.777484	0.762862	0.769265	0.767861	0.766265	0.782011
64	0	-1560.094	-1577.61	17.51675	0.340407	0.339585	0.33721	0.327794	0.327857	0.250235	0.249451	0.248971	0.248678	0.248274
65	1	-1585.1	-1594.016	8.915822	0.666972	0.733126	0.728189	0.690079	0.69342	0.727972	0.744133	0.744158	0.717042	0.687038
66	0	-1534.658	-1575.188	40.52961	0.322303	0.322296	0.323157	0.322371	0.32384	0.323032	0.323126	0.31999	0.321744	0.320373
67	1	-1596.102	-1597.871	1.769937	0.666972	0.666296	0.642223	0.644369	0.6489	0.657384	0.63732	0.637925	0.630082	0.606156
68	0	-1579.954	-1573.663	-6.290415	0.260882	0.262832	0.264832	0.247697	0.250966	0.246541	0.249461	0.225309	0.217775	0.521013
69	1	-1591.589	-1594.184	2.594756	0.666972	0.662131	0.654088	0.654112	0.683127	0.706928	0.725716	0.753405	0.755002	0.774936
70	0	-1563.189	-1570.856	7.666714	0.260882	0.268029	0.269358	0.267198	0.279968	0.280741	0.279254	0.278707	0.278777	0.28998
71	1	-1570.331	-1596.53	26.19893	0.666972	0.652786	0.595029	0.592338	0.59232	0.594165	0.60112	0.609262	0.602275	0.59322
72	0	-1573.288	-1570.344	-2.943766	0.260882	0.271293	0.277426	0.298098	0.306553	0.307696	0.318724	0.308049	0.306369	0.308775
73	1	-1565.067	-1597.198	32.13129	0.666972	0.643063	0.64825	0.631119	0.638319	0.631117	0.635767	0.662104	0.623183	0.661919
74	0	-1552.727	-1571.166	18.43972	0.260882	0.261316	0.26383	0.287012	0.346896	0.345942	0.344986	0.34641	0.403625	0.424093
75	1	-1582.409	-1596.312	13.90253	0.666972	0.618491	0.618263	0.626084	0.717639	0.914566	0.514125	0.498161	0.496263	0.498
76	0	-1551.77	-1572.515	20.74506	0.290579	0.289551	0.289619	0.299265	0.305046	0.304322	0.302487	0.376458	0.304394	0.299199
77	1	-1579.431	-1595.715	16.2845	0.666972	0.664358	0.676939	0.798004	0.805685	0.80597	0.765536	0.767159	0.754562	0.782892
78	0	-1546.939	-1571.867	24.92764	0.290579	0.290772	0.290772	0.29072	0.291124	0.292503	0.29285	0.291439	0.293988	0.292607
79	1	-1573.279	-1594.496	21.21697	0.666972	0.650706	0.665175	0.656125	0.665729	0.677186	0.675716	0.675229	0.681626	0.62599
80	0	-1551.887	-1572.151	20.2649	0.23005	0.228925	0.230661	0.231311	0.232267	0.232218	0.232242	0.231195	0.231104	0.23127
81	1	-1583.392	-1593.306	9.913519	0.666972	0.671511	0.702957	0.702684	0.711194	0.693976	0.701467	0.668973	0.695944	0.691817
82	0	-1553.265	-1570.378	17.11237	0.228458	0.224627	0.216537	0.217885	0.217753	0.218609	0.219581	0.205194	0.205206	0.204447
83	1	-1569.376	-1593.914	24.53846	0.626089	0.624312	0.62246	0.622664	0.612505	0.604497	0.625619	0.627754	0.622958	0.623383
84	0	-1585.648	-1566.364	-19.28379	0.0980172	0.101671	0.0986609	0.100369	0.106398	0.0970924	0.0931953	0.093039	0.0924748	0.0995271
85	1	-1584.585	-1595.702	11.11666	0.626089	0.604804	0.603818	0.609952	0.621364	0.613615	0.613988	0.614122	0.613491	0.615327
86	0	-1563.257	-1573.321	10.06381	0.165011	0.164451	0.161809	0.154917	0.156821	0.15014	0.150817	0.151239	0.15288	0.152901
87	1	-1537.319	-1594.298	56.97941	0.626089	0.625609	0.627415	0.627471	0.628236	0.628268	0.628981	0.628981	0.629388	0.628046
88	0	-1550.417	-1569.88	19.4631	0.155194	0.155152	0.154838	0.158203	0.157937	0.157661	0.163926	0.163939	0.164084	0.163868
89	1	-1578.626	-1595.19	16.56447	0.626089	0.617068	0.618784	0.618058	0.617418	0.622587	0.622536	0.62419	0.624194	0.585093
90	0	-1557.842	-1567.535	9.693276	0.130508	0.130512	0.120205	0.119529	0.119173	0.119121	0.12024	0.119722	0.12167	0.11778
91	1	-1588.164	-1591.543	3.379549	0.626089	0.623735	0.620255	0.62069	0.63669	0.668443	0.69479	0.65238	0.64624	0.730883
92	0	-1584.593	-1567.894	-16.69895	0.00782194	0.00782924	0.0073188	0.0076029	0.00744215	0.00747867	0.00745255	0.008402	0.00834338	0.00803871
93	1	-1600.414	-1589.577	-10.83703	0.626089	0.555243	0.62178	0.659869	0.64737	0.723584	0.687487	0.723844	0.778586	0.791003
94	0	-1599.711	-1566.168	-33.54259	0.00120501	0.00120247	0.00122136	0.00149136	0.00150005	0.00137505	0.00138141	0.00136678	0.00133381	0.00124872
95	1	-1597.674	-1587.775	-9.899048	0.626089	0.720931	0.706783	0.756039	0.880648	0.756258	0.873295	0.866541	0.860204	0.873221
96	0	-1605.944	-1568.753	-37.19036	0.00028626	0.000343867	0.000346398	0.000354925	0.000396641	0.000357867	0.000396271	8.21093e-06	8.18131e-06	8.42604e-06
97	1	-1586.198	-1587.667	1.469361	0.626089	0.64017	0.716867	0.710561	0.759328	0.819724	0.684049	0.712313	0.725303	0.757878
98	0	-1592.638	-1567.576	-25.06261	0.000442258	0.000450752	0.000448825	0.000441534	0.000492519	0.000503071	0.000517059	0.000590986	0.000578947	0.000357259
99	1	-1581.766	-1589.162	7.395744	0.626089	0.629563	0.662865	0.662892	0.654613	0.661075	0.656028	0.66497	0.652415	0.55202
100	0	-1590.556	-1569.544	-21.01177	0.000340483	0.000279938	0.000279353	0.000272149	0.00034012	0.000341038	0.000342069	0.000301734	0.000257829	0.00025702
101	1	-1587.084	-1592.04	4.956012	0.626089	0.622677	0.611956	0.569447	0.556729	0.576053	0.57428	0.57202	0.560253	0.566606
102	0	-1582.343	-1566.674	-15.66829	0.00229183	0.00225343	0.00225505	0.00232411	0.00232309	0.00225578	0.00224197	0.00225641	0.00216594	0.00206587
103	1	-1592.167	-1590.791	-1.375646	0.626089	0.624501	0.618871	0.619426	0.608639	0.608179	0.667032	0.665239	0.667335	0.669191
104	0	-1575.757	-1566.307	-9.449936	0.0065118	0.00647632	0.00648553	0.00651407	0.00653851	0.00636925	0.00628803	0.00623298	0.00617041	0.0061789
105	1	-1558.118	-1588.12	30.00228	0.578649	0.531045	0.5276	0.520191	0.512885	0.509716	0.516264	0.515664	0.51447	0.508679
